id,from_path,target_type,target_destination,target_entity_id,category,site_id
2,/body-care-products/,category,Category ID: 31,31,standard-product,1000
3,/organic-household-products/,category,Category ID: 34,34,standard-product,1000
6,/organic-window-floor-cleaning-products/,category,Category ID: 373,373,standard-product,1000
8,/organic-household/,category,Category ID: 34,34,standard-product,1000
9,/organic-hair-care/,category,Category ID: 32,32,standard-product,1000
15,/organic-body-care/,category,Category ID: 31,31,standard-product,1000
17,/organic-hand-body-wash-1/,category,Category ID: 469,469,standard-product,1000
18,/organic-shaving-gel-1/,category,Category ID: 471,471,standard-product,1000
20,/body-care-2/,category,Category ID: 416,416,standard-product,1000
23,/household-products/,category,Category ID: 34,34,standard-product,1000
24,/baby-kids/,category,Category ID: 410,410,standard-product,1000
28,/organic-mums-products/,category,Category ID: 321,321,standard-product,1000
29,/organic-baby-bath-wash/,category,Category ID: 324,324,standard-product,1000
30,/organic-baby-shampoo/,category,Category ID: 326,326,standard-product,1000
31,/organic-baby-moisturiser/,category,Category ID: 323,323,standard-product,1000
32,/organic-baby-nappy-lotion/,category,Category ID: 325,325,standard-product,1000
33,/organic-baby-massage-oil/,category,Category ID: 328,328,standard-product,1000
34,/organic-baby-laundry-products/,category,Category ID: 327,327,standard-product,1000
35,/organic-pet-rug-wash/,category,Category ID: 400,400,standard-product,1000
37,/organic-pet-shampoo-conditioner-1/,category,Category ID: 399,399,standard-product,1000
38,/organic-pet-grooming-spray/,category,Category ID: 391,391,standard-product,1000
40,/organic-body-massage-oils/,category,Category ID: 339,339,standard-product,1000
44,/organic-floor-cleaning-products/,category,Category ID: 377,377,standard-product,1000
45,/organic-window-cleaning-products/,category,Category ID: 373,373,standard-product,1000
46,/organic-bathroom-toilet-cleaning/,category,Category ID: 372,372,standard-product,1000
47,/organic-kitchen-cleaning-products/,category,Category ID: 374,374,standard-product,1000
51,/organic-pet-product/,category,Category ID: 299,299,standard-product,1000
52,/oils-1/,category,Category ID: 625,625,standard-product,1000
55,/other-12/,category,Category ID: 700,700,standard-product,1000
57,/virgin-coconut-oil-1-litre-by-niugini-organics/,product,Product ID: 471,471,standard-product,1000
59,/virgin-organic-coconut-oil-by-nuigini-organics-23-95-boo/,product,Product ID: 471,471,standard-product,1000
60,/virgin-organic-coconut-oil-by-niugini-organics-23-95-boo/,product,Product ID: 471,471,standard-product,1000
61,/virgin-organic-coconut-oil-by-niugini-organics-26-95-boo/,product,Product ID: 471,471,standard-product,1000
62,/apple-cider-vinegar-1-litre-by-bragg/,product,Product ID: 723,723,standard-product,1000
64,/virgin-organic-coconut-oil-by-niugini-organics-28-95-boo/,product,Product ID: 471,471,standard-product,1000
65,/virgin-organic-coconut-oil-by-niugini-organics-buy-5-get-1-free/,product,Product ID: 471,471,standard-product,1000
68,/active-shampoobiotin-b-complex-thick-400-ml-by-avalon-organics/,product,Product ID: 4212,4212,standard-product,1000
69,/active-shampootea-tree-mint-treatment-400-ml-by-avalon-organics/,product,Product ID: 4214,4214,standard-product,1000
75,/licorrice-tea/,category,Category ID: 921,921,standard-product,1000
88,/citrus-rose-conditioner-damaged-hair/,product,Product ID: 315,315,standard-product,1000
89,/citrus-rose-shampoo-value-pack/,product,Product ID: 314,314,standard-product,1000
90,/citrus-rose-shampoo-damaged-hair/,product,Product ID: 313,313,standard-product,1000
93,/coconut-hand-body-wash-500-ml/,product,Product ID: 284,284,standard-product,1000
94,/coconut-hand-body-wash-250-ml/,product,Product ID: 283,283,standard-product,1000
95,/coconut-conditioner-value-pack/,product,Product ID: 281,281,standard-product,1000
96,/coconut-conditioner-all-hair-type/,product,Product ID: 280,280,standard-product,1000
97,/coconut-shampoo-value-pack/,product,Product ID: 278,278,standard-product,1000
100,/lavender-hand-body-wash-500-ml/,product,Product ID: 301,301,standard-product,1000
101,/lavender-hand-body-wash-250-ml/,product,Product ID: 300,300,standard-product,1000
107,/lavender-fields-roll-on-aco/,product,Product ID: 269,269,standard-product,1000
111,/lemon-myrtle-hand-body-wash-500-ml/,product,Product ID: 293,293,standard-product,1000
114,/lemon-myrtle-conditioner-oily-hair/,product,Product ID: 290,290,standard-product,1000
115,/lemon-myrtle-shampoo-value-pack/,product,Product ID: 289,289,standard-product,1000
