Domain,Old Path,Manual URL/Path,Dynamic Target Type,Dynamic Target ID
www.buyorganicsonline.com.au,/copy-of-healing-concepts-organic-lemon-balm-tea-30g/,/,,
www.buyorganicsonline.com.au,/hilde-hemmes-herbals-beta-lax-x-30-tea-bags-on-sale-bb-30-01-27/,/,,
www.buyorganicsonline.com.au,/hilde-hemmes-herbals-swedish-bitters-120c-on-sale-bb-02-27/,/,,
www.buyorganicsonline.com.au,/copy-of-planet-organic-ginseng-plus-tea-bags-25-bags/,/,,
www.buyorganicsonline.com.au,/almonds-raw-organic-100g-lotus-on-sale-bb-20-01-25/,/,,
www.buyorganicsonline.com.au,/lotus-cornflour-maize-500g-on-sale-bb-13-01-25/,/,,
www.buyorganicsonline.com.au,/the-gluten-free-food-co-quick-easy-cupcake-mix-500g-on-sale-bb-01-02-25/,/,,
www.buyorganicsonline.com.au,/nature-first-xanthan-gum-1kg-on-sale-bb-20-07-26/,/,,
www.buyorganicsonline.com.au,/copy-of-herbs-of-gold-magnesium-citrate-900-120vc/,/,,
www.buyorganicsonline.com.au,/copy-of-synergy-natural-organic-super-greens-powder-500g/,/,,
www.buyorganicsonline.com.au,/bass-body-care-exfoliating-skin-towel-color-may-vary-1-on-sale/,/,,
www.buyorganicsonline.com.au,/thankfully-nourished-liver-powder-180g-on-sale-bb-02-25/,/,,
www.buyorganicsonline.com.au,/copy-of-ausganica-organic-massage-oil-muscle-health-100ml/,/,,
www.buyorganicsonline.com.au,/copy-of-ausganica-organic-massage-oil-slim-and-trim-100ml/,/,,
www.buyorganicsonline.com.au,/copy-of-ausganica-organic-massage-oil-relaxation-100ml/,/,,
www.buyorganicsonline.com.au,/red-seal-complete-care-toothpaste-100g-on-sale-bb-10-03-26/,/,,
www.buyorganicsonline.com.au,/gevity-rx-bone-broth-body-glue-curry-260g-on-sale-bb-10-02-25/,/,,
www.buyorganicsonline.com.au,/gevity-rx-bone-broth-body-glue-curry-260g-on-sale-bb-15-03-25/,/,,
www.buyorganicsonline.com.au,/weleda-white-mallow-face-cream-baby-derma-fragrance-free-50ml-on-sale-bb-04-25/,/,,
www.buyorganicsonline.com.au,/ethical-zinc-natural-clear-zinc-sunscreen-spf-50-100ml-on-sale-exp-01-26/,/,,
www.buyorganicsonline.com.au,/lotus-spelt-flour-white-organic-1kg-on-sale-bb-17-02-25/,/,,
www.buyorganicsonline.com.au,/lotus-buckwheat-kernels-500g-on-sale-bb-20-01-25/,/,,
www.buyorganicsonline.com.au,/niulife-coconut-endurance-mct-plus-500ml-on-sale-bb-25-02-25/,/,,
www.buyorganicsonline.com.au,/copy-of-fulhealth-industries-silver-colloid-200ml/,/,,
www.buyorganicsonline.com.au,/copy-of-berringa-aust-manuka-honey-mild-strength-mgo-120-500g/,/,,
www.buyorganicsonline.com.au,/global-organics-tomato-paste-organic-tube-200g-on-sale-bb-31-12-26/,/,,
www.buyorganicsonline.com.au,/copy-of-surgical-basics-heat-pack-silicon-beads-63-x-12cm-corduroy-long/,/,,
www.buyorganicsonline.com.au,/lotus-semolina-coarse-500g-on-sale-bb-24-03-25/,/,,
www.buyorganicsonline.com.au,/lotus-lentils-green-organic-250g-on-sale-bb-11-05-26/,/,,
www.buyorganicsonline.com.au,/lotus-chana-dahl-spilt-peas-organic-500g-on-sale-bb-21-04-25/,/,,
www.buyorganicsonline.com.au,/organic-rainbow-spiced-cacao-150g-on-sale-bb-03-07-26/,/,,
www.buyorganicsonline.com.au,/red-seal-black-adder-x-25-tea-bags-on-sale-bb-08-02-26/,/,,
www.buyorganicsonline.com.au,/planet-organic-herbal-tea-bags-calming-x-25-on-sale-bb-15-03-25/,/,,
www.buyorganicsonline.com.au,/yogi-tea-honey-lavender-stress-relief-16-bags-on-sale-bb-08-03-25/,/,,
www.buyorganicsonline.com.au,/yogi-tea-honey-lavender-stress-relief-16-bags-on-sale-bb-20-04-25/,/,,
www.buyorganicsonline.com.au,/breathe-deep-tea-bags-16-bags-by-yogi-tea-on-sale-bb-22-03-25/,/,,
www.buyorganicsonline.com.au,/yogi-tea-stomach-ease-tea-bags-16-bags-on-sale-bb-25-04-25/,/,,
www.buyorganicsonline.com.au,/carob-kibble-nibbles-organic-200g-on-sale-bb-10-07-27/,/,,
www.buyorganicsonline.com.au,/2die4-live-foods-activated-buckinis-300g-on-sale-bb-01-06-25/,/,,
www.buyorganicsonline.com.au,/2die4-live-foods-organic-activated-macadamias-120g-on-sale-bb-01-04-25/,/,,
www.buyorganicsonline.com.au,/nuilife-extra-virgin-coconut-oil-720ml-on-sale-bb-16-05-25/,/,,
www.buyorganicsonline.com.au,/power-super-foods-cacao-nibs-500g-on-sale-bb-21-02-25/,/,,
www.buyorganicsonline.com.au,/power-super-foods-gelatinised-maca-the-origin-series-250g-on-sale-bb-17-03-25/,/,,
www.buyorganicsonline.com.au,/allan-k-suttons-my-colloidal-silver-glass-1l-on-sale-bb-12-27/,/,,
www.buyorganicsonline.com.au,/copy-of-cathay-herbal-paediatric-calm-me-down-formula-50g/,/,,
