Domain,Old Path,Manual URL/Path,Dynamic Target Type,Dynamic Target ID
www.buyorganicsonline.com.au,/bottle-amber-25ml-18mm-single/,/,,
www.buyorganicsonline.com.au,/bottle-amber-100ml-18mm-single/,/,,
www.buyorganicsonline.com.au,/bottle-amber-50ml-18mm-single/,/,,
www.buyorganicsonline.com.au,/bottle-plastic-opaque-28mm-250ml/,/,,
www.buyorganicsonline.com.au,/amazonia-raw-protein-daily-nourish-vanilla-500g/,/,,
www.buyorganicsonline.com.au,/amazonia-raw-protein-daily-nourish-chocolate-500g/,/,,
www.buyorganicsonline.com.au,/amazonia-raw-protein-daily-nourish-vanilla-750g/,/,,
www.buyorganicsonline.com.au,/amazonia-raw-protein-daily-nourish-chocolate-750g/,/,,
www.buyorganicsonline.com.au,/amazonia-raw-gentle-digest-paleo-protein-chocolate-1kg/,/,,
www.buyorganicsonline.com.au,/gelatin-health-joint-collagen-450g/,/,,
www.buyorganicsonline.com.au,/edible-earth-glow-gut-elixir-100g/,/,,
www.buyorganicsonline.com.au,/jack-n-jill-sil-tooth-and-gum-brush-stage-3-2-to-5-years/,/,,
www.buyorganicsonline.com.au,/edible-earth-glow-youth-elixir-100g/,/,,
www.buyorganicsonline.com.au,/enviroclean-tap-bung-for-15l-drums/,/,,
www.buyorganicsonline.com.au,/microrganics-green-nutrit-yaeyama-pac-chlorella-pwd-250g/,/,,
www.buyorganicsonline.com.au,/microrganics-green-nutrit-hawaiian-pac-spirulina-500mg-500t/,/,,
www.buyorganicsonline.com.au,/gauze-swabs-non-sterile-4ply-x-100-pack/,/,,
www.buyorganicsonline.com.au,/aotearoad-aotearoad-gwp-zinki-stick-random-colour-15g/,/,,
www.buyorganicsonline.com.au,/aotearoad-body-moisturising-stick-pina-colada-and-zinc-60g/,/,,
www.buyorganicsonline.com.au,/the-jojoba-company-australian-jojoba-oil-for-face-body-200ml/,/,,
www.buyorganicsonline.com.au,/the-broth-sisters-stock-concentrate-vegetable-fodmap-friendly-170g/,/,,
www.buyorganicsonline.com.au,/raw-caramel-slices-everything-you-need/,/,,
www.buyorganicsonline.com.au,/healthy-banana-bread-ingredients/,/,,
www.buyorganicsonline.com.au,/raw-snickers-slices-almost-every-ingredient/,/,,
www.buyorganicsonline.com.au,/healthy-muesli-bars-ingredients/,/,,
www.buyorganicsonline.com.au,/bulk-apple-cider-vinegar-organic-20l/,/apple-cider-vinegar/,,
www.buyorganicsonline.com.au,/yeast-brewers-1x3kg-nature-first-w-ups/,/brewers-yeast/,,
www.buyorganicsonline.com.au,/kadac-bulk-oats-rolled-15kg/,/rolled-oats/,,
www.buyorganicsonline.com.au,/dr-bronner-pure-castile-liquid-soap-hemp-lavender-18-9l-bulk/,/dr-bronners/,,
