BC_SKU,BC_Name,BC_Price,Supplier,Supplier_SKU,Supplier_Name,Cost_Price,RRP,Stock,Match_Type,Reviewed
UN - AC10,Amazonia Raw Stainless Steel Shaker Rose Gold 500Ml,19.95,uhp,AC10,Raw Stainless Steel Shaker Rose Gold,11.34,19.95,,sku_prefix,FALSE
UN - AC113,Amazonia Protein Isolate Chocolate & Coconut 12 x 30g,54,uhp,AC11,Raw Protein Isolate Choc Coconut,22.7,39.95,,sku_prefix,FALSE
UN - AC12,Amazonia Raw Protein Isolate Vanilla 390g,39.95,uhp,AC12,Raw Protein Isolate Vanilla,22.7,39.95,,sku_prefix,FALSE
UN - AC160,Amazonia Rawfit Plant Protein Perform&Recover Rich Chocolate 500G,44.95,uhp,AC160,RawFit Plant Protein Perform & Recover Rich Chocolate,25.54,44.95,,sku_prefix,FALSE
UN - AC161,Amazonia Rawfit Plant Protein Perform&Recover Rich Chocolate 1.25Kg,84.95,uhp,AC161,RawFit Plant Protein Perform & Recover Rich Chocolate,48.27,84.95,,sku_prefix,FALSE
UN - AC162,Amazonia Rawfit Plant Protein Perform&Recover Creamy Vanilla 500G,44.95,uhp,AC162,RawFit Plant Protein Perform & Recover Creamy Vanilla,25.54,44.95,,sku_prefix,FALSE
UN - AC163,Amazonia Rawfit Plant Protein Perform & Recover Creamy Vanilla 1.25Kg,84.95,uhp,AC163,RawFit Plant Protein Perform & Recover Creamy Vanilla,48.27,84.95,,sku_prefix,FALSE
UN - AC183,Amazonia Raw Protein Daily Nourish Chocolate 750g,74.95,uhp,AC183,Raw Protein Daily Nourish Chocolate,42.59,74.95,,sku_prefix,FALSE
UN - AC190,Amazonia Raw Gentle Digest Paleo Protein Chocolate 1kg,78,uhp,AC190,Raw Gentle Digest Paleo Protein Chocolate,44.17,78,,sku_prefix,FALSE
UN - AC192,Amazonia Raw Gentle Digest Paleo Protein Chocolate 500g,47,uhp,AC192,Raw Gentle Digest Paleo Protein Chocolate,27.19,47,,sku_prefix,FALSE
UN - AC203,Amazonia Raw Protein Bar Choc Chip Cookie Dough 10X40G,45,uhp,AC203,Raw Protein Bar Choc Chip Cookie Dough,25.57,4.5,,sku_prefix,FALSE
UN - AC206,Amazonia Raw Protein Bar Salted Caramel Choc Crisp 10 x 40g,45,uhp,AC206,Raw Protein Bar Salted Caramel Choc Crisp,25.57,4.5,,sku_prefix,FALSE
OB - AZRPCCH,Amazonia Raw Protein Collagen Plus Choc Hazelnut 450g,46.36,uhp,AC316,Raw Protein Collagen Plus Choc Hazelnut,31.72,51,,barcode,FALSE
UN - AC318,Amazonia Raw Protein Collagen Plus Choc Hazelnut 750g,78,uhp,AC318,Raw Protein Collagen Plus Choc Hazelnut,44.17,78,,sku_prefix,FALSE
OB - AZRPCVM,Amazonia Raw Protein Collagen Plus Vanilla Maple 450g,46.36,uhp,AC320,Raw Protein Collagen Plus Vanilla Maple,31.72,51,,barcode,FALSE
UN - AC322,Amazonia Raw Protein Collagen Plus Vanilla Maple 750g,78,uhp,AC322,Raw Protein Collagen Plus Vanilla Maple,44.17,78,,sku_prefix,FALSE
UN - AC412,Amazonia Raw Sleep Magnesium Dreamy Vanilla 100g,30,uhp,AC412,Raw Sleep Magnesium Dreamy Vanilla,17.05,30,,sku_prefix,FALSE
UN - AC414,Amazonia Raw Sleep Magnesium Dreamy Vanilla 200g,50,uhp,AC414,Raw Sleep Magnesium Dreamy Vanilla,28.41,50,,sku_prefix,FALSE
UN - AC416,Amazonia Raw Muscle Magnesium Creamy Mango 100g,30,uhp,AC416,Raw Muscle Magnesium Creamy Mango,17.05,30,,sku_prefix,FALSE
UN - AC418,Amazonia Raw Muscle Magnesium Creamy Mango 200g,50,uhp,AC418,Raw Muscle Magnesium Creamy Mango,28.41,50,,sku_prefix,FALSE
UN - AC420,Amazonia Raw Muscle Magnesium Creamy Mango 500g,100,uhp,AC420,Raw Muscle Magnesium Creamy Mango,56.82,100,,sku_prefix,FALSE
UN - AC422,Amazonia Raw Organic Vitamin C Passionfruit 100g,30,uhp,AC422,Raw Organic Vitamin C Passionfruit,17.05,30,,sku_prefix,FALSE
UN - AC78,Amazonia Protein Isolate Natural 500g,47,uhp,AC78,Raw Protein Isolate Natural,27.19,47,,sku_prefix,FALSE
UN - AC79,Amazonia Protein Isolate Natural 1kg,78,uhp,AC79,Raw Protein Isolate Natural,44.17,78,,sku_prefix,FALSE
UN - AC80,Amazonia Protein Isolate Vanilla 500g,47,uhp,AC80,Raw Protein Isolate Vanilla,27.19,47,,sku_prefix,FALSE
UN - AC81,Amazonia Protein Isolate Vanilla 1Kg,78,uhp,AC81,Raw Protein Isolate Vanilla,44.17,78,,sku_prefix,FALSE
UN - AC86,Amazonia Protein Isolate Chocolate Coconut 500G,47,uhp,AC86,Raw Protein Isolate Choc Coconut,27.19,47,,sku_prefix,FALSE
UN - AC87,Raw Protein Isolate (Chocolate & Coconut) 1kg By Amazonia,78,uhp,AC87,Raw Protein Isolate Choc Coconut,44.17,78,,sku_prefix,FALSE
UN - AC88,Amazonia Protein Slim & Tone Vanilla Cinnamon 500G,47,uhp,AC88,Raw Protein Slim & Tone Vanilla Cinnamon,27.19,47,,sku_prefix,FALSE
UN - AC89,Amazonia Protein Slim & Tone Vanilla Cinnamon 1Kg,78,uhp,AC89,Raw Protein Slim & Tone Vanilla Cinnamon,44.17,78,,sku_prefix,FALSE
UN - AC93,Amazonia Protein Slim & Tone Triple Chocolate 500G,47,uhp,AC93,Raw Protein Slim & Tone Triple Chocolate,27.19,47,,sku_prefix,FALSE
UN - AC94,Amazonia Protein Slim & Tone Triple Chocolate 1Kg,78,uhp,AC94,Raw Protein Slim & Tone Triple Chocolate,44.17,78,,sku_prefix,FALSE
UN - AC95,Amazonia Protein Paleo Fermented Vanilla Lucuma 500g,47,uhp,AC95,Raw Gentle Digest Paleo Protein Vanilla,27.19,47,,sku_prefix,FALSE
UN - AC96,Amazonia Fermented Paleo Protein (vanilla & Lucuma) 1kg,78,uhp,AC96,Raw Gentle Digest Paleo Protein Vanilla,44.17,78,,sku_prefix,FALSE
UN - AD01,Aloe Dent Triple Toothpaste 100ml,13.95,uhp,AD01,Toothpaste Fluoride Free Triple Action,7.93,13.95,,sku_prefix,FALSE
UN - AD02,Aloe Dent Sensitive Toothpaste 100ml,13.95,uhp,AD02,Toothpaste Fluoride Free Sensitive,7.93,13.95,,sku_prefix,FALSE
UN - AD03,Aloe Dent Whitening Toothpaste 100ml,13.95,uhp,AD03,Toothpaste Fluoride Free Whitening,7.93,13.95,,sku_prefix,FALSE
UN - AD05,Aloe Dent Mint Mouthwash 250ml,12.95,uhp,AD05,Mouthwash Alcohol Free Aloe Vera & Tea Tree,7.36,12.95,,sku_prefix,FALSE
UN - AD06,Aloe Dent Aloe Vera Lip Balm 4g,9.95,uhp,AD06,Lip Balm Aloe Vera,5.65,9.95,,sku_prefix,FALSE
UN - AD08,Aloe Dent Toothpaste Fluoride Free Triple Action Charcoal 100ml,13.95,uhp,AD08,Toothpaste Fluoride Free Triple Action Charcoal,7.93,13.95,,sku_prefix,FALSE
UN - AE101,Alter Eco Chocolate Organic Mint Creme Dark Truffle Thins 12 x 84g,95.88,uhp,AE101,Chocolate Organic Mint Creme Dark Truffle Thins,56.4,7.99,,sku_prefix,FALSE
UN - AE102,Alter Eco Chocolate Organic Salted Caramel Dark Truffle Thins 12 x 84g,95.88,uhp,AE102,Chocolate Organic Salted Caramel Dark Truffle Thins,56.4,7.99,,sku_prefix,FALSE
UN - AE105,Alter Eco Chocolate Organic Creme Brulee Dark Truffle Thins 12 x 84g,95.88,uhp,AE105,Chocolate Organic Creme Brulee Dark Truffle Thins,56.4,7.99,,sku_prefix,FALSE
UN - AE160,Alter Eco Chocolate Organic Dark Orange Blackout 12 x 75g,95.88,uhp,AE160,Chocolate Organic Dark Orange Blackout,56.4,7.99,,sku_prefix,FALSE
