"Confidence","Score","BC SKU","BC Name","UHP SKU","UHP Name","UHP Brand","Match Details"
"MEDIUM","70.0","UN - TM25","Tom Organic Pads Overnight x 8","N/A","Pads Extra Overnight","TOM Organic","Brand: Exact match; Keywords: 2 matches (pads, overnight)"
"LOW","64.0","UN - CH171","Cheeki Stainless Steel Bottle Insulated in Champagne 600ml","N/A","Stainless Steel Bottle Insulated Slate","Cheeki","Brand: Exact match; Keywords: 4 matches (stainless, steel, bottle)"
"LOW","64.0","UN - CH173","Cheeki Stainless Steel Bottle Insulated Ocean 600ml","N/A","Stainless Steel Bottle Insulated Slate","Cheeki","Brand: Exact match; Keywords: 4 matches (stainless, steel, bottle)"
"LOW","64.0","UN - WEL85","Weleda Pomegranate Firming Face Serum 30ml","N/A","Firming Face Serum Pomegranate & Maca Peptides","Weleda","Brand: Exact match; Keywords: 4 matches (pomegranate, firming, face)"
"LOW","64.0","UN - WEL87","Weleda Pomegranate Firming Night Cream 30ml","N/A","Firming Night Cream Pomegranate & Maca Peptides","Weleda","Brand: Exact match; Keywords: 4 matches (pomegranate, firming, night)"
"LOW","64.0","UN - CH248","Cheeki Stainless Steel Bottle Insulated Pistachio 600ml","N/A","Stainless Steel Bottle Insulated Slate","Cheeki","Brand: Exact match; Keywords: 4 matches (stainless, steel, bottle)"
"LOW","64.0","UN - CH249","Cheeki Stainless Steel Bottle Insulated Silver 600ml","N/A","Stainless Steel Bottle Insulated Slate","Cheeki","Brand: Exact match; Keywords: 4 matches (stainless, steel, bottle)"
"LOW","62.5","UN - AS08","Alchemy Golden Turmeric Elixir 300ml","N/A","Golden Turmeric Elixir Original","Alchemy","Brand: Exact match; Keywords: 3 matches (golden, turmeric, elixir)"
"LOW","64.0","UN - CH165","Cheeki Stainless Steel Bottle Insulated Surf 400ml","N/A","Stainless Steel Bottle Insulated Slate","Cheeki","Brand: Exact match; Keywords: 4 matches (stainless, steel, bottle)"
"LOW","64.0","UN - CH176","Cheeki Stainless Steel Bottle Insulated Matte Black Sports Lid 600ml","N/A","Stainless Steel Bottle Insulated Slate","Cheeki","Brand: Exact match; Keywords: 4 matches (stainless, steel, bottle)"
"LOW","64.0","UN - CH177","Cheeki Stainless Steel Bottle Insulated Pink Sports Lid 600ml","N/A","Stainless Steel Bottle Insulated Slate","Cheeki","Brand: Exact match; Keywords: 4 matches (stainless, steel, bottle)"
"LOW","64.0","UN - CH178","Cheeki Stainless Steel Bottle Insulated Topaz Sports Lid 600ml","N/A","Stainless Steel Bottle Insulated Slate","Cheeki","Brand: Exact match; Keywords: 4 matches (stainless, steel, bottle)"
"LOW","64.0","UN - CH263","Cheeki Stainless Steel Bottle Insulated Pink 600ml","N/A","Stainless Steel Bottle Insulated Slate","Cheeki","Brand: Exact match; Keywords: 4 matches (stainless, steel, bottle)"
"LOW","64.0","UN - CH167","Cheeki Stainless Steel Bottle Insulated Pink 400ml","N/A","Stainless Steel Bottle Insulated Slate","Cheeki","Brand: Exact match; Keywords: 4 matches (stainless, steel, bottle)"
"LOW","64.0","UN - CH170","Cheeki Stainless Steel Bottle Insulated 3D Jungle 600ml","N/A","Stainless Steel Bottle Insulated Slate","Cheeki","Brand: Exact match; Keywords: 4 matches (stainless, steel, bottle)"
"LOW","64.0","UN - CH179","Cheeki Stainless Steel Bottle Insulated 3D Watercolour 600ml","N/A","Stainless Steel Bottle Insulated Slate","Cheeki","Brand: Exact match; Keywords: 4 matches (stainless, steel, bottle)"
"LOW","64.0","UN - HW49","Happy Way Vegan Protein Powder Chocolate Hazelnut 500g","N/A","Vegan Protein Powder Choc Peanut Butter","Happy Way","Brand: Exact match; Keywords: 4 matches (vegan, protein, powder)"
"LOW","64.0","UN - VE21","Vego Hazelnut Chocolate Spread Crunchy 6x200g","N/A","Hazelnut Chocolate Spread Crunchy","Vego","Brand: Exact match; Keywords: 4 matches (hazelnut, chocolate, spread)"
"LOW","62.5","UN - MS34","Mingle Backyard Barbeque All Natural Seasoning 10 x 50g","N/A","Backyard Barbeque All Natural Seasoning","Mingle","Brand: Exact match; Keywords: 3 matches (backyard, barbeque, seasoning)"
"LOW","62.5","UN - MS35","Mingle Greek Garlic All Natural Seasoning 10 x 45g","N/A","Greek Garlic All Natural Seasoning","Mingle","Brand: Exact match; Keywords: 3 matches (greek, garlic, seasoning)"
"LOW","60.0","UN - MS36","Mingle Guac & Avo All Natural Seasoning 10 x 45g","N/A","Guac & Avo All Natural Seasoning","Mingle","Brand: Exact match; Keywords: 2 matches (guac, seasoning)"
"LOW","62.5","UN - MS38","Mingle Everything Bagel All Natural Seasoning 10 x 50g","N/A","Everything Bagel All Natural Seasoning","Mingle","Brand: Exact match; Keywords: 3 matches (everything, bagel, seasoning)"
"LOW","64.0","UN - SOH10","Sodii Everyday Hydration Salts Salty Berry 30pk","N/A","Everyday Hydration Salts Salty Kiwi","Sodii","Brand: Exact match; Keywords: 4 matches (everyday, hydration, salts)"
"LOW","64.0","UN - SOH11","Sodii Everyday Hydration Salts Salty Berry 185g","N/A","Everyday Hydration Salts Salty Kiwi","Sodii","Brand: Exact match; Keywords: 4 matches (everyday, hydration, salts)"
