"Brand","SKU","Product Name","Stock Level","BC ID","In UHP Feed?"
"Ethique","UN - ETQ07","Ethique Solid Shampoo & Shaving Bar Tip to Toe 110g","0","23796","NO"
"Ethique","UN - ETQ13","Ethique Solid Conditioner Bar Tone It Down Purple 60g","0","23799","NO"
"Ethique","UN - ETQ62","Ethique Solid Crème Bodywash Bar Sweet Orange & Vanilla 110g","0","28107","NO"
"Ethique","UN - ETQ61","Ethique Solid Body Polish Bar Lime & Ginger 110g","0","28108","NO"
"Ethique","UN - ETQ111","Ethique Dogs Solid Shampoo Bow Wow Bar 110g","0","28117","NO"
"Ethique","UN - ETQ112","Ethique Dogs Solid Shampoo Shampooch Sensitive 110g","0","28118","NO"
"Ethique","UN - ETQ113","Ethique Dogs Solid Conditioner Pawfector 60g","0","28119","NO"
"Ethique","UN - ETQ133","Ethique Bamboo & Cornstarch Shower Container Aqua 1","0","28120","NO"
"Ethique","UN - ETQ131","Ethique Bamboo & Cornstarch Shower Container Green 1","0","28121","NO"
"Ethique","UN - ETQ10","Ethique Solid Conditioner Bar Wonderbar Oily or Normal Hair 60g","0","32845","NO"
"Ethique","UN - ETQ200","Ethique Gentle Shampoo Concentrate for TOuchy Scalps Unscented 50g","0","32847","NO"
"Ethique","UN - ETQ201","Ethique Hydrating Shampoo Concentrate for Normal to Dry Hair Bloom 50g","0","32848","NO"
"Ethique","UN - ETQ202","Ethique Balancing Shampoo Concentrate for Oily to Normal Hair Sorbet 50g","0","32849","NO"
"Ethique","UN - ETQ210","Ethique Gentle Conditioner Concentrate for TOuchy Scalps Unscented 25g","0","32850","NO"
"Ethique","UN - ETQ211","Ethique Hydrating Conditioner Concentrate for Normal to Dry Hair Bloom 25g","0","32851","NO"
"Ethique","UN - ETQ212","Ethique Balancing Conditioner Concentrate for Oily to Normal Hair Sorbet 25g","0","32852","NO"
"Ethique","UN - ETQ220","Ethique Gentle Bodywash Concentrate Unscented 50g","0","32853","NO"
"Ethique","UN - ETQ221","Ethique Hydrating Bodywash Concentrate Flourish 50g","0","32854","NO"
"Ethique","UN - ETQ230","Ethique Gentle Body Lotion Concentrate Unscented 50g","0","32856","NO"
"Ethique","UN - ETQ231","Ethique Hydrating Body Lotion Concentrate Flourish 50g","0","32857","NO"
"Ethique","UN - ETQ232","Ethique Hydrating Body Lotion Concentrate Zest 50g","0","32858","NO"
"Ethique","UN - ETQ240","Ethique Hydrating Handwash Concentrate Flourish 50g","0","32859","NO"
"Ethique","UN - ETQ241","Ethique Invigorating Handwash Concentrate Sorbet 50g","0","32860","NO"
"Ethique","UN - ETQ242","Ethique Refreshing Handwash Concentrate Zest 50g","0","32861","NO"
"Ethique","UN - ETQ250","Ethique Multi purpose Bathroom Spray Concentrate Eucalyptus 25g","0","32862","NO"
"Ethique","UN - ETQ251","Ethique Multi purpose Kitchen Spray Concentrate Sweet Orange 25g","0","32863","NO"
"Ethique","UN - ETQ37","Ethique Solid Face Cleanser Bar Deep Green 100g","0","32865","NO"
"Ethique","UN - ETQ16","Ethique Solid Shampoo Bar Bar Minimum Unscented 110g","0","53515","NO"
"Ethique","UN - ETQ17","Ethique Solid Conditioner Bar In The Buff Unscented 60g","0","53517","NO"
"Ethique","UN - ETQ18","Ethique Solid Shampoo Bar Professor Curl Curly Hair 108g","0","53519","NO"
"Ethique","UN - ETQ19","Ethique Solid Conditioner & Co-Wash Bar Curliosity Curly Hair 110g","0","53521","NO"
"Ethique","UN - ETQ402","Ethique Gift Bundle Tame Those Locks Frizz Wrangler & The Guardian x2","0","53523","NO"
"Ethique","UN - ETQ403","Ethique Gift Bundle The Adventurer Tip-To-Toe & Flash x2","0","53525","NO"
"Ethique","UN - ETQ505","Ethique Lip Balm Sugarplum Tinted 9g","0","53535","NO"
"Ethique","UN - ETQ501","Ethique Lip Balm Juicy Pink Grapefruit & Vanilla 9g","0","53527","NO"
"Ethique","UN - ETQ502","Ethique Lip Balm Nectar Unscented 9g","0","53529","NO"
"Ethique","UN - ETQ503","Ethique Lip Balm Pepped Up Peppermint 9g","0","53531","NO"
"Ethique","UN - ETQ504","Ethique Lip Balm So Cocoa Chocolate 9g","0","53533","NO"
"Ethique","UN - ETQ510","Ethique Solid Deodorant Stick Botanica 70g","0","53537","NO"
"Ethique","UN - ETQ511","Ethique Solid Deodorant Stick Rustic 70g","0","53539","NO"
"Ethique","UN - ETQ512","Ethique Solid Deodorant Stick Minimalist Unscented 70g","0","53541","NO"
"Ethique","UN - ETQ520","Ethique Solid Face Serum Tube Saving Face Serum 65g","0","53543","NO"
"Ethique","UN - ETQ521","Ethique Solid Face Cream Tube The Perfector Nourishing 65g","0","53545","NO"
"Ethique","UN - ETQ522","Ethique Solid Face Cream Tube Quench Balancing 65g","0","53547","NO"
"Ethique","UN - ETQ530","Ethique Solid Body Butter Tube Coconut & Lime 100g","0","53549","NO"
"Ethique","UN - ETQ531","Ethique Solid Body Butter Tube Jasmin & Ylang Ylang 100g","0","53551","NO"
"Ethique","UN - ETQ60","Ethique Solid Cream Body Cleanser Lime & Lemongrass 105g","0","53577","NO"
"Ethique","UN - ETQ532","Ethique Solid Body Butter Tube Sweet Orange & Vanilla 100g","0","53553","NO"
"Ethique","UN - ETQ533","Ethique Solid Body Butter Tube Unscented 100g","0","53555","NO"
"Ethique","UN - ETQ606","Ethique Discovery Pack  Minis - Invigorating Body Care 45g","0","53589","NO"
"Ethique","UN - ETQ560","Ethique Lipstick Mallow Blush Pink 8g","0","53561","NO"
"Ethique","UN - ETQ561","Ethique Lipstick Honeysuckle Warm Peach 8g","0","53563","NO"
"Ethique","UN - ETQ562","Ethique Lipstick Snapdragon Rosy Mauve 8g","0","53565","NO"
"Ethique","UN - ETQ563","Ethique Lipstick Hibiscus Vibrant Coral 8g","0","53567","NO"
"Ethique","UN - ETQ564","Ethique Lipstick Dahlia Terracotta Brown 8g","0","53569","NO"
"Ethique","UN - ETQ565","Ethique Lipstick Poppy Ruby Red 8g","0","53571","NO"
"Ethique","UN - ETQ566","Ethique Lipstick Tulip Deep Berry 8g","0","53573","NO"
"Ethique","UN - ETQ59","Ethique Solid Cream Body Cleanser Unscented 105g","0","53575","NO"
"Ethique","UN - ETQ601","Ethique Discovery Pack  Minis - For Dry Hair 45g","0","53579","NO"
"Ethique","UN - ETQ602","Ethique Discovery Pack  Minis - For Balanced Hair 45g","0","53581","NO"
"Ethique","UN - ETQ603","Ethique Discovery Pack  Minis - For Oily To Balanced 45g","0","53583","NO"
"Ethique","UN - ETQ604","Ethique Discovery Pack  Minis - For Touchy Scalps 45g","0","53585","NO"
"Ethique","UN - ETQ605","Ethique Discovery Pack  Minis - Luxurious Face Cleansing 45g","0","53587","NO"
"Ethique","UN - ETQ607","Ethique Discovery Pack  Minis - Gentle Unscented 45g","0","53591","NO"
"Ethique","UN - ETQ147","Ethique Shampoo & Soap Saver Bag x6","0","62805","NO"
