SKU,Name,Brand,Price,Barcode,Stock,Category
KIK - ORG10-CO,Biologika Live It Up Deodorant Roll On 70ml,,12.95,9321582004356,,
KIK - ECA02,Invoke Prosperity Room Air Freshener 125ml By Ecologic,,10.95,9321582004684,,
KIK - ECB01,Ecologic Citrus & Tea Tree Bathroom Cleaning Spray 500ml,,7.95,9321582004592,,
KIK - ECB03,Ecologic Pine & Lemon Eucalyptus Toilet Clean Gel 500ml,,7.95,9321582004585,,
KIK - ECB03-15,Ecologic Pine & Lemon Eucalyptus Toilet Cleansing Gel 15L Bulk,,198.95,9321582003434,,
KIK - ECK03,Ecologic Lemon & Lime Dishwash Liquid 500 ml,,7.95,9321582004523,,
KIK - ECK03-15,Ecologic Lemon & Lime Dishwashing Liquid 15L Bulk,,198.95,9321582003496,,
KIK - ECH01,Ecologic Rose Geranium Tile & Floor Cleaner 1L,,10.95,9321582004578,,
KIK - ECH01-15,Rose Geranium Floor Cleaner 15L Bulk By Ecologic,,138.95,9321582003441,,
KIK - ECH02,Ecologic Sweet Orange & Tangerine Everyday Cleaner Spray 500ml,,7.95,9321582004516,,
KIK - ECK02,Ecologic Sweet Orange & Clementine Dish Liquid 500ml,,7.95,9321582004530,,
KIK - ECL01-15,Ecologic Australian Lavender Laundry Liquid 15L,,138.95,9321582003502,,
KIK - ECL04,Ecologic Lavender & Aloe Vera Fabric Softener 1L,,12.5,9321582004622,,
KIK - ORG104,Biologika Sensitive Shampoo 500ml,,10.95,9321582004226,,
KIK - ORG105,Biologika Sensitive Conditioner 500ml,,13.95,9321582004233,,
KIK - ORG108-CO,Biologika Fragrance Free Deodorant Roll On Aco 70ml,,12.95,9321582004363,,
KIK - ORG13-CO,Biologika Lemon Kiss Deodorant Roll On Aco 70ml,,12.95,9321582004394,,
KIK - ORG14-CO,Biologika Vanilla Kiss Deodorant Roll On Aco 70ml,,12.95,9321582004387,,
KIK - ORG15-CO,Biologika Lavender Fields Roll On Aco 70ml,,12.95,9321582004370,,
KIK - ORG30,Biologika Coconut Shampoo 500ml,,13.95,9321582004141,,
KIK - ORG31,Biologika Coconut Shampoo 1L,,19.95,9321582004158,,
KIK - ORG32,Biologika Coconut Conditioner 500ml,,13.95,9321582004165,,
KIK - ORG33,Biologika Coconut Conditioner 1L,,19.95,9321582004172,,
KIK - ORG34,Biologika Coconut & Lime Hand Wash 250ml,,8.5,9321582004349,,
KIK - ORG35,Biologika Coconut Body Wash 500ml,,13.95,9321582004264,,
KIK - ORG36-15,Biologika Coconut Hand & Body Wash 15L Bulk,,249.95,9321582003656,,
KIK - ORG37,Biologika Coconut Veggie Cream 100g,,10.95,9321582004295,,
KIK - ORG40,Biologika Lemon Myrtle Shampoo 500ml,,13.95,9321582004189,,
KIK - ORG58,Biologika Lemon Myrtle Shampoo 1L,,19.95,9321582005155,,
KIK - ORG42,Biologika Lemon Myrtle Conditioner 500ml,,13.95,9321582004196,,
KIK - ORG45,Biologika Lemon Myrtle Body Wash 500ml,,10.95,9321582004257,,
KIK - ORG54,Biologika Lavender Hand Wash 250ml,,8.5,9321582004332,,
KIK - ORG55,Biologika Lavender Body Wash 500ml,,13.95,9321582004240,,
KIK - ORG56-15,Biologika Lavender Hand & Body Wash 15L Bulk,,249.95,9321582004493,,
KIK - ORG70,Biologika Citrus Rose Shampoo 500ml,,13.95,9321582004202,,
KIK - ORG68,Biologika Citrus Rose Shampoo 1L,,19.95,9321582005131,,
KIK - ORG72,Biologika Citrus Rose Conditioner 500ml,,13.95,9321582004219,,
KIK - ORG77,Biologika Citrus Rose Veggie Cream 100g,,13.95,9321582004301,,
KIK - HRR01,Rose Shampoo By Ausganica 250ml,,16.95,9341179031084,,
UN - DC135,Dr Organic Coconut Skin Lotion 200ml,,18.95,5060176675162,,
KIK - HRR02,Ausganica Rose Conditioner 250ml,,18.95,9341179031091,,
KIK - HRR03,Ausganica Rose Body Wash 250ml,,16.95,9341179031107,,
KIK - HBR02,Ausganica Damage Relief Shampoo 250ml,,14.95,9341179031039,,
KIK - HBR03,Ausganica Hair Detox Shampoo 250ml,,14.95,9341179031046,,
KIK - HBR05,Ausganica Silky Milk Conditioner 250ml,,16.95,9341179031060,,
UN - NG02,Niugini Organics Virgin Organic Coconut Oil 1 Litre,,32.95,9318816111317,,
