SKU,Name,Brand,Price,Stock_Level,Category,Barcode,Status
KAD - 99777,Sun Valley Box 100% True Fruit Strips Tropical 120g x 6,,47.84,0,,9312331003065,NO_STOCK
KAD - 63820,Lotus Maize Meal Organic 500g,,6.69,0,,9317127638209,NO_STOCK
KAD - 32345,Muesli Company Muesli Natural Wheat Free 750g,,6.79,0,,9311467000023,NO_STOCK
KAD - 32342,The Muesli Company Muesli Toasted Wheat Free 750g,,6.99,0,,9311467000030,NO_STOCK
KAD - 32346,Muesli Premium Toasted Full of Fruit 750g The Muesli Company,,6.99,0,,9311467000016,NO_STOCK
KAD - 426993,Lotus Amaranth Flakes Rolled Organic 375g,,12.29,0,,9317127004332,NO_STOCK
KAD - 411894,Mustard Wholegrain Organic 200g Global Organics,,7.41,0,,9326721009377,NO_STOCK
KAD - 7037,Lotus Millet Puffed Organic 175g,,8.29,0,,9317127070375,NO_STOCK
KAD - 2442,Tahini Hulled 385g Mayvers - ON SALE BB 30/07/26,,7.2,0,,9310885000141,NO_STOCK
KAD - 2451,Tahini Unhulled 385g Mayvers,,7.2,0,,9310885115142,NO_STOCK
KAD - 1650,NuLax Fruit Laxative with Senna Block Natural 250g,,10.29,0,,9310214000057,NO_STOCK
KAD - 2555,Tahini Hulled Organic 385g Mayvers - ON SALE BB 29/05/25,,9.55,0,,9310885115357,NO_STOCK
KAD - 2556,Tahini Unhulled Organic 385g Mayvers,,9.55,0,,9310885115364,NO_STOCK
KAD - 48501,Muir Glen Salsa Medium Organic 454g,,9.79,0,,725342484706,NO_STOCK
KAD - 435880,Stoney Creek Golden Flaxseed Oil 280ml,,20.99,0,,9322428003342,NO_STOCK
KAD - 457496,Lotus Oatblend 400g,,5.39,0,,9317127003700,NO_STOCK
KAD - 464916,Eatrite Crackers Brown Rice Sea Salt & Apple Cider Vinegar 100g,,5.97,0,,9311367000765,NO_STOCK
KAD - 464849,Global Organics Sauce Tamari Low Sodium GF Organic 250ml,,6.99,0,,9326721002170,NO_STOCK
KAD - 476799,NaturTint Natural Hair Colour Ash Blonde 8A 155ml,,20.99,0,,8429449100195,NO_STOCK
KAD - 467592,Lotus Pumpkin Seed Flour Raw Austrian Organic 250g,,14.59,0,,9317127008873,NO_STOCK
KAD - 48530,Muir Glen Tomatoes Fire Roasted Diced Organic 411g,,7.24,0,,725342291212,NO_STOCK
