Supplier,Supplier_SKU,Name,Brand,Barcode,Cost_Price,RRP,Stock,Category
test,TEST-001,Test Product,,,,,,
uhp,AC10,Raw Stainless Steel Shaker Rose Gold,Amazonia,9344060002774,11.34,19.95,,Active Living
uhp,AC11,Raw Protein Isolate Choc Coconut,Amazonia,9344060002125,22.7,39.95,,Active Living
uhp,AC12,Raw Protein Isolate Vanilla,Amazonia,9344060002132,22.7,39.95,,Active Living
uhp,AC160,RawFit Plant Protein Perform & Recover Rich Chocolate,Amazonia,9344060002408,25.54,44.95,,Active Living
uhp,AC161,RawFit Plant Protein Perform & Recover Rich Chocolate,Amazonia,9344060002415,48.27,84.95,,Active Living
uhp,AC162,RawFit Plant Protein Perform & Recover Creamy Vanilla,Amazonia,9344060002385,25.54,44.95,,Active Living
uhp,AC163,RawFit Plant Protein Perform & Recover Creamy Vanilla,Amazonia,9344060002392,48.27,84.95,,Active Living
uhp,AC183,Raw Protein Daily Nourish Chocolate,Amazonia,9344060003245,42.59,74.95,,Active Living
uhp,AC190,Raw Gentle Digest Paleo Protein Chocolate,Amazonia,9344060003498,44.17,78,,Active Living
uhp,AC192,Raw Gentle Digest Paleo Protein Chocolate,Amazonia,9344060003481,27.19,47,,Active Living
uhp,AC203,Raw Protein Bar Choc Chip Cookie Dough,Amazonia,9344060002552,25.57,4.5,,"Active Living, Snacks"
uhp,AC206,Raw Protein Bar Salted Caramel Choc Crisp,Amazonia,9344060003542,25.57,4.5,,"Active Living, Snacks"
uhp,AC316,Raw Protein Collagen Plus Choc Hazelnut,Amazonia,9344060002255,31.72,51,,"Active Living, Body & Beauty"
uhp,AC318,Raw Protein Collagen Plus Choc Hazelnut,Amazonia,9344060002262,44.17,78,,"Active Living, Body & Beauty"
uhp,AC322,Raw Protein Collagen Plus Vanilla Maple,Amazonia,9344060001906,44.17,78,,"Active Living, Body & Beauty"
uhp,AC412,Raw Sleep Magnesium Dreamy Vanilla,Amazonia,9344060003870,17.05,30,,"Active Living, Natural Remedies"
uhp,AC414,Raw Sleep Magnesium Dreamy Vanilla,Amazonia,9344060003658,28.41,50,,"Active Living, Natural Remedies"
uhp,AC416,Raw Muscle Magnesium Creamy Mango,Amazonia,9344060003863,17.05,30,,"Active Living, Natural Remedies"
uhp,AC418,Raw Muscle Magnesium Creamy Mango,Amazonia,9344060003665,28.41,50,,"Active Living, Natural Remedies"
uhp,AC420,Raw Muscle Magnesium Creamy Mango,Amazonia,9344060003931,56.82,100,,"Active Living, Natural Remedies"
uhp,AC422,Raw Organic Vitamin C Passionfruit,Amazonia,9344060003719,17.05,30,,Natural Remedies
uhp,AC424,Raw Organic Vitamin C Passionfruit,Amazonia,9344060003726,28.41,50,,Natural Remedies
uhp,AC426,Raw Organic Vitamin C Passionfruit,Amazonia,9344060003733,56.82,100,,Natural Remedies
uhp,AC428,Raw Organic Greens Vanilla Mint,Amazonia,9344060003740,17.05,30,,Superfoods
uhp,AC430,Raw Organic Greens Vanilla Mint,Amazonia,9344060003757,28.41,50,,Superfoods
uhp,AC432,Raw Organic Greens Vanilla Mint,Amazonia,9344060003764,56.82,100,,Superfoods
uhp,AC434,Raw Organic Fibre Lemon Lime,Amazonia,9344060003634,19.9,35,,Natural Remedies
uhp,AC436,Raw Organic Fibre Orange,Amazonia,9344060003641,19.9,35,,Natural Remedies
uhp,AC438,Raw Organic Fibre Unflavoured,Amazonia,9344060003627,19.9,35,,Natural Remedies
uhp,AC440,Raw Organic Probiotics Cloudy Apple,Amazonia,9344060003672,19.9,35,,Natural Remedies
uhp,AC442,Raw Organic Probiotics Cloudy Apple,Amazonia,9344060003955,34.1,60,,Natural Remedies
uhp,AC444,Raw Organic Multivitamin Pineapple,Amazonia,9344060003849,19.9,35,,Natural Remedies
uhp,AC446,Raw Organic Multivitamin Pineapple,Amazonia,9344060003917,34.1,60,,Natural Remedies
uhp,AC448,Raw Organic Multivitamin Pineapple,Amazonia,9344060003924,62.5,110,,Natural Remedies
uhp,AC450,Raw Organic Iron Apple Blackcurrant,Amazonia,9344060003856,19.9,35,,Natural Remedies
uhp,AC452,Raw Organic Iron Apple Blackcurrant,Amazonia,9344060003948,34.1,60,,Natural Remedies
uhp,AC78,Raw Protein Isolate Natural,Amazonia,9344060000329,27.19,47,,Active Living
uhp,AC80,Raw Protein Isolate Vanilla,Amazonia,9344060000428,27.19,47,,Active Living
uhp,AC81,Raw Protein Isolate Vanilla,Amazonia,9344060000435,44.17,78,,"Active Living, Christmas"
uhp,AC86,Raw Protein Isolate Choc Coconut,Amazonia,9344060000466,27.19,47,,Active Living
uhp,AC87,Raw Protein Isolate Choc Coconut,Amazonia,9344060000473,44.17,78,,Active Living
uhp,AC88,Raw Protein Slim & Tone Vanilla Cinnamon,Amazonia,9344060000626,27.19,47,,"Active Living, Natural Remedies"
uhp,AC89,Raw Protein Slim & Tone Vanilla Cinnamon,Amazonia,9344060000633,44.17,78,,"Active Living, Natural Remedies"
uhp,AC93,Raw Protein Slim & Tone Triple Chocolate,Amazonia,9344060002316,27.19,47,,"Active Living, Natural Remedies"
uhp,AC94,Raw Protein Slim & Tone Triple Chocolate,Amazonia,9344060002309,44.17,78,,"Active Living, Natural Remedies"
uhp,AC95,Raw Gentle Digest Paleo Protein Vanilla,Amazonia,9344060000732,27.19,47,,Active Living
uhp,AC96,Raw Gentle Digest Paleo Protein Vanilla,Amazonia,9344060000749,44.17,78,,Active Living
uhp,AD01,Toothpaste Fluoride Free Triple Action,Aloe Dent,5029354010355,7.93,13.95,,"Body & Beauty, Cyber Sale"
uhp,AD02,Toothpaste Fluoride Free Sensitive,Aloe Dent,5029354002930,7.93,13.95,,"Body & Beauty, Cyber Sale"
uhp,AD03,Toothpaste Fluoride Free Whitening,Aloe Dent,5029354010393,7.93,13.95,,"Body & Beauty, Cyber Sale"
uhp,AD05,Mouthwash Alcohol Free Aloe Vera & Tea Tree,Aloe Dent,5029354001254,7.36,12.95,,"Body & Beauty, Cyber Sale"
uhp,AD06,Lip Balm Aloe Vera,Aloe Dent,5029354001162,5.65,9.95,,"Body & Beauty, Cyber Sale"
uhp,AD10,Children’s Toothpaste Fluoride Free Strawberry,Aloe Dent,5029354005078,6.18,10.95,,"Body & Beauty, Cyber Sale, Home"
uhp,AD15,Toothpaste Triple Action with Fluoride,Aloe Dent,5029354010362,7.93,13.95,,"Body & Beauty, Cyber Sale"
uhp,AD16,Toothpaste Sensitive with Fluoride,Aloe Dent,5029354010386,7.93,13.95,,"Body & Beauty, Cyber Sale"
uhp,AD17,Toothpaste Whitening with Fluoride,Aloe Dent,5029354010409,7.93,13.95,,"Body & Beauty, Cyber Sale"
uhp,AD18,Toothpaste Coconut Oil Fluoride Free,Aloe Dent,5029354012687,7.93,13.95,,"Body & Beauty, Cyber Sale"
uhp,AD26,Fresh Breath Spray,Aloe Dent,5029354004934,44.16,12.95,,"Body & Beauty, Cyber Sale"
