"Brand","SKU","Product Name","Stock Level","Is Visible","BC ID","Barcode"
"NO BRAND","UN - AM06","Auromere Neem Picks 100 Picks","0","Yes","659","027275350203"
"NO BRAND","UN - AC73","Amazonia Greens 120g","0","Yes","606","9344060000367"
"NO BRAND","UN - AC74","Amazonia Greens 300g","0","Yes","607","9344060000374"
"NO BRAND","UN - BS22","Bioastin Astaxanthin 12mg 50 gel capsules","0","Yes","731","732894035188"
"NO BRAND","UN - EH07","Alaffia Lavender Body Wash 950 ml","0","Yes","1257","187132005063"
"NO BRAND","UN - EH08","Alaffia Vanilla Mint Body Wash 950ml","0","Yes","1258","187132005070"
"NO BRAND","UN - EH10","Alaffia Lavender Body Lotion 950ml","0","Yes","1261","187132005018"
"NO BRAND","UN - EH11","Alaffia Vanilla Body Lotion 950ml","0","Yes","1262","187132005025"
"NO BRAND","UN - EH12","Everyday Unscented Body Lotion 950ml","0","Yes","1263","187132005001"
"NO BRAND","UN - EH16","Alaffia Body Lotion Purely Coconut 950ml","0","Yes","1264","187132007005"
"NO BRAND","UN - EH04","Alaffia Lavender Conditioner 950ml","0","Yes","1265","187132005216"
"NO BRAND","UN - EH05","Alaffia Vanilla Mint Conditioner 950ml","0","Yes","1266","187132005230"
"NO BRAND","UN - EH14","Alaffia Coconut Conditioner 950ml","0","Yes","1268","187132007302"
"NO BRAND","UN - EH03","Alaffia Unscented Shampoo 950 ml","0","Yes","1271","187132005247"
"NO BRAND","UN - EH13","Alaffia Coconut Shampoo Purely Coconut 950ml","0","Yes","1272","187132007203"
"NO BRAND","UN - GK06","2Chic Brazilian Keratin & Argan Oil Hair & Body Lotion 53ml","0","Yes","1325","716237183705"
"NO BRAND","UN - GH21","Gold Mine Kelp Noodles 454g","0","Yes","1395","707881600069"
"NO BRAND","UN - GK04","Giovanni 2Chic Brazilian Keratin/Argan Oil Blow Out Styling Mist 118ml","0","Yes","1342","716237183675"
"NO BRAND","UN - GV25","Giovanni Smooth As Silk Extreme Protein Hair Infusion 150ml","0","Yes","1347","716237182289"
"NO BRAND","UN - GV98","Giovanni Hot Chocolate Sugar Scrub 260g","0","Yes","1349","716237180759"
"NO BRAND","UN - GV36","Giovanni 50/50 Balanced Conditioner 1 Litre","0","Yes","1356","716237180254"
"NO BRAND","UN - GV33","Giovanni 50/50 Balanced Shampoo 1 Litre","0","Yes","1360","716237180223"
