BC Product ID,SKU,Name,Barcode,Reason
189,"KIK - ECA02","Invoke Prosperity Room Air Freshener 125ml By Ecologic","9321582004684","No UHP match found"
199,"KIK - ECB03-15","Ecologic Pine & Lemon Eucalyptus Toilet Cleansing Gel 15L Bulk","9321582003434","No UHP match found"
210,"KIK - ECK03-15","Ecologic Lemon & Lime Dishwashing Liquid 15L Bulk","9321582003496","No UHP match found"
201,"KIK - ECH01-15","Rose Geranium Floor Cleaner 15L Bulk By Ecologic","9321582003441","No UHP match found"
286,"KIK - ORG36-15","Biologika Coconut Hand & Body Wash 15L Bulk","9321582003656","No UHP match found"
287,"KIK - ORG37","Biologika Coconut Veggie Cream 100g","9321582004295","No UHP match found"
289,"KIK - ORG58","Biologika Lemon Myrtle Shampoo 1L","9321582005155","No UHP match found"
303,"KIK - ORG56-15","Biologika Lavender Hand & Body Wash 15L Bulk","9321582004493","No UHP match found"
314,"KIK - ORG68","Biologika Citrus Rose Shampoo 1L","9321582005131","No UHP match found"
320,"KIK - ORG77","Biologika Citrus Rose Veggie Cream 100g","9321582004301","No UHP match found"
447,"KIK - HRR01","Rose Shampoo By Ausganica 250ml","9341179031084","No UHP match found"
448,"KIK - HRR02","Ausganica Rose Conditioner 250ml","9341179031091","No UHP match found"
450,"KIK - HRR03","Ausganica Rose Body Wash 250ml","9341179031107","No UHP match found"
451,"KIK - HRR04","Ausganica Rose Body Lotion 250ml.","9341179031114","No UHP match found"
453,"KIK - HBR01","Ausganica Root Strength Shampoo 250ml","9341179031022","No UHP match found"
456,"KIK - HBR02","Ausganica Damage Relief Shampoo 250ml","9341179031039","No UHP match found"
458,"KIK - HBR03","Ausganica Hair Detox Shampoo 250ml","9341179031046","No UHP match found"
460,"KIK - HBR05","Ausganica Silky Milk Conditioner 250ml","9341179031060","No UHP match found"
659,"UN - AM06","Auromere Neem Picks 100 Picks","027275350203","No UHP match found"
606,"UN - AC73","Amazonia Greens 120g","9344060000367","No UHP match found"
607,"UN - AC74","Amazonia Greens 300g","9344060000374","No UHP match found"
616,"UN - AD02","Aloe Dent Sensitive Toothpaste 100ml","5029354010379","No UHP match found"
646,"UN - AK05","Australia's Manuka Bush Honey Ulf 10+ 250g","9329661000282","No UHP match found"
655,"UN - AM02","Auromere Classic Liquorice Toothpaste 117g","027275200225","No UHP match found"
656,"UN - AM03","Auromere Mint Free Toothpaste 117g","027275200324","No UHP match found"
670,"UN - AO33","Amazing Oils Magnesium Oil 1 Litre","738435862220","No UHP match found"
672,"UN - AO34","Amazing Oils Magnesium Bath Flakes 800g","741360539396","No UHP match found"
702,"UN - BC01","Indian Spiced Tea 100g By Byron Chai","9329325000016","No UHP match found"
725,"UN - BR11","Bragg Nutritional Yeast Seasoning 127g","074305066054","No UHP match found"
731,"UN - BS22","Bioastin Astaxanthin 12mg 50 gel capsules","732894035188","No UHP match found"
907,"UN - CH51","Chai Tea Organic Rainbow Chai 20 Bags","9328918009801","No UHP match found"
909,"UN - CH55","Chai Tea Spice Mix 150g","9328918009931","No UHP match found"
911,"UN - CH52","Chai Tea Organic Rainbow Chai 100g","9328918009962","No UHP match found"
912,"UN - CH54","Chai Tea Organic Rooibos Chai 100g","9328918009818","No UHP match found"
3597,"KAD - 886","Herbon Soap Liquid 250ml","93226752","No UHP match found"
1238,"UN - EP14","Spearmint Gum 50 Pieces By Epic","898414556011","No UHP match found"
1257,"UN - EH07","Alaffia Lavender Body Wash 950 ml","187132005063","No UHP match found"
1258,"UN - EH08","Alaffia Vanilla Mint Body Wash 950ml","187132005070","No UHP match found"
1261,"UN - EH10","Alaffia Lavender Body Lotion 950ml","187132005018","No UHP match found"
1262,"UN - EH11","Alaffia Vanilla Body Lotion 950ml","187132005025","No UHP match found"
1263,"UN - EH12","Everyday Unscented Body Lotion 950ml","187132005001","No UHP match found"
1264,"UN - EH16","Alaffia Body Lotion Purely Coconut 950ml","187132007005","No UHP match found"
1265,"UN - EH04","Alaffia Lavender Conditioner 950ml","187132005216","No UHP match found"
1266,"UN - EH05","Alaffia Vanilla Mint Conditioner 950ml","187132005230","No UHP match found"
1268,"UN - EH14","Alaffia Coconut Conditioner 950ml","187132007302","No UHP match found"
1271,"UN - EH03","Alaffia Unscented Shampoo 950 ml","187132005247","No UHP match found"
1272,"UN - EH13","Alaffia Coconut Shampoo Purely Coconut 950ml","187132007203","No UHP match found"
1325,"UN - GK06","2Chic Brazilian Keratin & Argan Oil Hair & Body Lotion 53ml","716237183705","No UHP match found"
1395,"UN - GH21","Gold Mine Kelp Noodles 454g","707881600069","No UHP match found"
1342,"UN - GK04","Giovanni 2Chic Brazilian Keratin/Argan Oil Blow Out Styling Mist 118ml","716237183675","No UHP match found"
1347,"UN - GV25","Giovanni Smooth As Silk Extreme Protein Hair Infusion 150ml","716237182289","No UHP match found"
1349,"UN - GV98","Giovanni Hot Chocolate Sugar Scrub 260g","716237180759","No UHP match found"
1356,"UN - GV36","Giovanni 50/50 Balanced Conditioner 1 Litre","716237180254","No UHP match found"
1360,"UN - GV33","Giovanni 50/50 Balanced Shampoo 1 Litre","716237180223","No UHP match found"
1368,"UN - GW02","Giovanni Wellness System Conditioner With Chinese Botanicals 250ml","716237182883","No UHP match found"
1499,"UN - JJ21","Jack N' Jill Bunny Toothbrush 1 Unit","9312657011041","No UHP match found"
