Domain,Old Path,Manual URL/Path,Dynamic Target Type,Dynamic Target ID
www.buyorganicsonline.com.au,/bioastin-astaxanthin-12mg-50-gel-capsules/,/superfoods-supplements/,,
www.buyorganicsonline.com.au,/everyday-unscented-body-lotion-950ml/,/beauty-personal-care/body-care/,,
www.buyorganicsonline.com.au,/2chic-brazilian-keratin-argan-oil-hair-body-lotion-53ml/,/beauty-personal-care/body-care/,,
www.buyorganicsonline.com.au,/gold-mine-kelp-noodles-454g/,/noodles/,,
www.buyorganicsonline.com.au,/jack-n-jill-bunny-toothbrush-1-unit/,/beauty-personal-care/oral-care/,,
www.buyorganicsonline.com.au,/lemon-myrtle-fragrances-lemon-myrtle-conditioner-200ml/,/beauty-personal-care/hair-care/,,
www.buyorganicsonline.com.au,/lemon-myrtle-fragrances-lemon-myrtle-shampoo-200ml/,/beauty-personal-care/hair-care/,,
www.buyorganicsonline.com.au,/regular-ultra-wings-pads-14-pads-by-natracare/,/,,
www.buyorganicsonline.com.au,/bio-spark-vitamin-c-powder-200g-by-nts-health/,/superfoods-supplements/,,
www.buyorganicsonline.com.au,/power-super-foods-cacao-powder-certified-organic-raw-1kg/,/superfoods-supplements/,,
www.buyorganicsonline.com.au,/power-super-foods-cacao-butter-chunks-1-kg/,/,,
www.buyorganicsonline.com.au,/power-super-foods-maqui-powder-50g/,/superfoods-supplements/,,
www.buyorganicsonline.com.au,/pure-food-essentials-buckwheat-flour-500g/,/,,
www.buyorganicsonline.com.au,/pure-food-essentials-chilli-powder-80g/,/superfoods-supplements/,,
www.buyorganicsonline.com.au,/rosehip-plus-rosehip-oil-30ml/,/plant-animal-oils/,,
www.buyorganicsonline.com.au,/rosehip-plus-rosehip-oil-50ml/,/plant-animal-oils/,,
www.buyorganicsonline.com.au,/silver-gel-60ml-by-sakura-health-colloidal/,/,,
www.buyorganicsonline.com.au,/calming-tea-bags-16-bags-by-yogi-tea-on-sale-bb-110925/,/drinks/tea-coffee/,,
www.buyorganicsonline.com.au,/yogi-tea-berry-detox-tea-bags-16-bags/,/drinks/tea-coffee/,,
www.buyorganicsonline.com.au,/love-childrens-braceletanklet-honey-by-amber/,/,,
www.buyorganicsonline.com.au,/love-childrens-braceletanklet-mixed-by-amber/,/,,
www.buyorganicsonline.com.au,/love-childrens-braceletanklet-olive-by-amber/,/,,
www.buyorganicsonline.com.au,/love-childrens-braceletanklet-rainbow-by-amber/,/,,
www.buyorganicsonline.com.au,/vanilla-sprouted-brown-rice-protein-500g-protein-supplies-australia/,/superfoods-supplements/protein/,,
www.buyorganicsonline.com.au,/baby-cleansing-pads-60-by-simply-gentle/,/,,
www.buyorganicsonline.com.au,/biopro-chocolate-hazelnut-brown-rice-protein-1kg-by-protein-supplies-australia/,/superfoods-supplements/protein/,,
www.buyorganicsonline.com.au,/biopro-vanilla-cinnamon-brown-rice-protein-1kg-by-protein-supplies-australia/,/superfoods-supplements/protein/,,
www.buyorganicsonline.com.au,/cinnanom-toothpaste-113gr-by-redmond-earthpaste/,/beauty-personal-care/oral-care/,,
www.buyorganicsonline.com.au,/storagerinse-cup-bunny-jack-n-jill/,/,,
www.buyorganicsonline.com.au,/jack-n-jill-dinosaur-toothbrush/,/beauty-personal-care/oral-care/,,
www.buyorganicsonline.com.au,/goldenberries-125gr-by-power-super-foods/,/,,
www.buyorganicsonline.com.au,/jack-n-jill-koala-toothbrush/,/beauty-personal-care/oral-care/,,
www.buyorganicsonline.com.au,/vanilla-bean-wpi-3kg-protein-supplies-australia/,/superfoods-supplements/protein/,,
www.buyorganicsonline.com.au,/jack-n-jill-storagerinse-cup-dinosaur/,/,,
www.buyorganicsonline.com.au,/2die4-live-foods-activated-mixed-nuts-300g/,/,,
www.buyorganicsonline.com.au,/niugini-organics-virgin-coconut-oil-320ml/,/plant-animal-oils/,,
www.buyorganicsonline.com.au,/the-ginger-people-ginger-syrup-237ml/,/,,
www.buyorganicsonline.com.au,/bioastin-hawaiian-astaxanthin-vegan-12mg-50-capsules/,/superfoods-supplements/,,
www.buyorganicsonline.com.au,/dr-tungs-refill-heads-2/,/,,
www.buyorganicsonline.com.au,/every-bit-organic-raw-tamanu-oil-50ml/,/plant-animal-oils/,,
www.buyorganicsonline.com.au,/jojoba-company-jojoba-oil-rosehip-oil-30ml/,/plant-animal-oils/,,
www.buyorganicsonline.com.au,/the-natural-family-co-bio-toothbrush-twin-pack-pirate-black-monsoon-mist/,/beauty-personal-care/oral-care/,,
www.buyorganicsonline.com.au,/2die4-live-foods-activated-organic-muesli-1kg/,/,,
www.buyorganicsonline.com.au,/the-natural-family-co-toothbrush-twin-pack-river-mint-monsoon-mist/,/beauty-personal-care/oral-care/,,
www.buyorganicsonline.com.au,/the-natural-family-co-bio-toothbrush-twin-pack-pirate-black-ivory-desert/,/beauty-personal-care/oral-care/,,
www.buyorganicsonline.com.au,/the-natural-family-co-bio-toothbrush-twin-pack-river-mint-ivory-desert/,/beauty-personal-care/oral-care/,,
www.buyorganicsonline.com.au,/the-natural-family-co-bio-toothbrush-stand-soft-river-mint/,/beauty-personal-care/oral-care/,,
www.buyorganicsonline.com.au,/the-natural-family-co-bio-toothbrush-stand-soft-pirate-black/,/beauty-personal-care/oral-care/,,
www.buyorganicsonline.com.au,/the-natural-family-co-bio-toothbrush-stand-soft-monsoon-mist/,/beauty-personal-care/oral-care/,,
www.buyorganicsonline.com.au,/the-natural-family-co-bio-toothbrush-stand-soft-ivory-desert/,/beauty-personal-care/oral-care/,,
www.buyorganicsonline.com.au,/my-magic-mud-spearmint-toothpaste-113g/,/beauty-personal-care/oral-care/,,
www.buyorganicsonline.com.au,/luvin-life-magnesium-flakes-1kg/,/,,
www.buyorganicsonline.com.au,/luvin-life-epsom-salts-125kg/,/,,
www.buyorganicsonline.com.au,/luvin-life-bi-carb-soda-500g/,/,,
www.buyorganicsonline.com.au,/deep-pore-charcoal-mask-skin-clear-organic-tea-tree-100ml-dr-organic-green/,/drinks/tea-coffee/,,
www.buyorganicsonline.com.au,/stainless-steel-bottle-matte-black-1l-cheeki/,/,,
www.buyorganicsonline.com.au,/stainless-steel-bottle-silver-1l-cheeki/,/,,
www.buyorganicsonline.com.au,/my-magic-mud-oral-rinse-alcohol-free-classic-mint-420ml/,/,,
www.buyorganicsonline.com.au,/luvin-life-himalayan-salt-fine-200g/,/,,
www.buyorganicsonline.com.au,/luvin-life-himalayan-salt-fine-500g/,/,,
www.buyorganicsonline.com.au,/luvin-life-himalayan-salt-coarse-200g/,/,,
www.buyorganicsonline.com.au,/luvin-life-himalayan-salt-coarse-500g/,/,,
www.buyorganicsonline.com.au,/the-gluten-free-food-co-grain-free-flour-blend-mix-400g/,/,,
www.buyorganicsonline.com.au,/the-gluten-free-food-co-wholemeal-flour-blend-mix-400g/,/,,
www.buyorganicsonline.com.au,/the-gluten-free-food-co-quick-bread-mix-480g/,/,,
www.buyorganicsonline.com.au,/the-gluten-free-food-co-quick-pizza-base-mix-350g/,/,,
www.buyorganicsonline.com.au,/the-gluten-free-food-co-soft-flexible-wrap-mix-350g/,/,,
www.buyorganicsonline.com.au,/the-gluten-free-food-co-banana-bread-mix-400g/,/,,
www.buyorganicsonline.com.au,/the-gluten-free-food-co-chocolate-cake-mix-500g/,/snacks-treats/,,
www.buyorganicsonline.com.au,/the-gluten-free-food-co-quick-easy-cupcake-mix-500g/,/,,
www.buyorganicsonline.com.au,/the-gluten-free-food-co-mac-n-cheez-original-cheez-200g/,/,,
www.buyorganicsonline.com.au,/the-gluten-free-food-co-mac-n-cheez-cheez-n-chive-200g/,/,,
www.buyorganicsonline.com.au,/the-gluten-free-food-co-mac-n-cheez-chilli-cheez-200g/,/,,
www.buyorganicsonline.com.au,/the-gluten-free-food-co-mac-n-cheez-porcini-cheez-200g/,/,,
www.buyorganicsonline.com.au,/my-magic-mud-polishing-tooth-powder-peppermint-40g/,/superfoods-supplements/,,
www.buyorganicsonline.com.au,/my-magic-mud-tooth-powder-spearmint-40g/,/superfoods-supplements/,,
www.buyorganicsonline.com.au,/bkirkpatrick-ajohnstone-book-healthy-hormones/,/,,
www.buyorganicsonline.com.au,/ever-eco-bamboo-cutlery-set/,/,,
www.buyorganicsonline.com.au,/solutions-4-health-oregano-oil-12-caps/,/plant-animal-oils/,,
www.buyorganicsonline.com.au,/simply-gentle-3-in-1-cosmetic-wipe-25/,/,,
www.buyorganicsonline.com.au,/simply-gentle-cotton-cloths-30/,/,,
www.buyorganicsonline.com.au,/chico-bag-reusable-shop-bag-original-x-10/,/,,
www.buyorganicsonline.com.au,/noble-jerky-vegan-jerky-chipotle-70g/,/,,
www.buyorganicsonline.com.au,/noble-jerky-vegan-jerky-sweet-bbq-70g/,/,,
www.buyorganicsonline.com.au,/the-australian-natural-soap-co-solid-shampoo-bar-dry-hair-100g/,/beauty-personal-care/hair-care/,,
www.buyorganicsonline.com.au,/the-australian-natural-soap-co-solid-shampoo-bar-oily-hair-100g/,/beauty-personal-care/hair-care/,,
www.buyorganicsonline.com.au,/the-australian-natural-soap-co-activated-charcoal-unscented-100g/,/beauty-personal-care/body-care/,,
www.buyorganicsonline.com.au,/the-australian-natural-soap-co-dog-shampoo-100g/,/beauty-personal-care/hair-care/,,
www.buyorganicsonline.com.au,/ancient-minerals-inflatable-magnesium-footbath-kit-with-magnesium-bath-flakes/,/,,
www.buyorganicsonline.com.au,/little-zebra-chocolates-carob-buds-coconut-85g/,/snacks-treats/,,
www.buyorganicsonline.com.au,/the-australian-natural-soap-co-beard-shave-oil-25ml/,/beauty-personal-care/body-care/,,
www.buyorganicsonline.com.au,/the-australian-natural-soap-co-dish-and-laundry-soap-bar-200g/,/beauty-personal-care/body-care/,,
www.buyorganicsonline.com.au,/desert-island-confectionery-kresho-bar-chocolate-covered-almond-nougat-45g-x-24/,/snacks-treats/,,
www.buyorganicsonline.com.au,/zuii-organic-antibacterial-foam-hand-wash-with-ionic-silver-200ml/,/,,
www.buyorganicsonline.com.au,/zuii-organic-ionic-silver-alcohol-sanitising-gel-90ml/,/,,
www.buyorganicsonline.com.au,/planet-luxe-laundry-liquid-lemon-myrtle-blend-1l/,/,,
www.buyorganicsonline.com.au,/planet-luxe-floor-cleaner-rose-geranium-blend-1l/,/,,
www.buyorganicsonline.com.au,/planet-luxe-house-cleaner-lemon-myrtle-blend-500ml/,/,,
www.buyorganicsonline.com.au,/planet-luxe-dish-wash-lemon-myrtle-blend-500ml/,/,,
www.buyorganicsonline.com.au,/planet-luxe-freshen-up-spray-lavender-blend-200ml/,/,,
www.buyorganicsonline.com.au,/plantasy-foods-cheez-sprinkles-130g/,/,,
www.buyorganicsonline.com.au,/plantasy-foods-creamy-cheez-sauce-mix-150g/,/beauty-personal-care/skin-care/,,
www.buyorganicsonline.com.au,/plantasy-foods-omelette-and-fritter-mix-egg-free-150g/,/,,
www.buyorganicsonline.com.au,/plantasy-foods-vegetable-gravy-mix-150g/,/,,
