Brand,SKU,Name,Barcode
Acure,UN - AR119,"Acure Brilliantly Brightening Eye Contour Gel 14.7ml",813424020253
Acure,UN - AR124,"Acure Brightening 2% Alpha Arbutin Serum 30ml",813424023803
Acure,UN - AR130,"Acure Radically Rejuvenating Witch Hazel Toner 59ml",813424022271
Acure,UN - AR141,"Acure Radically Rejuvenating Niacinamide Serum 30ml",813424023650
Acure,UN - AR142,"Acure Radically Rejuvenating Retinoid Night Complex 30ml",813424023797
Acure,UN - AR156,"Acure Seriously Soothing Cloud Cream 50ml",813424020994
Acure,UN - AR158,"Acure Seriously Soothing Jelly Milk Makeup Remover 118ml",813424023643
Acure,UN - AR159,"Acure Seriously Soothing Facial Cleansing Bar 113g",813424023544
Acure,UN - AR162,"Acure The Essentials Marula Oil 30ml",854049002392
Acure,UN - AR163,"Acure The Essentials Rosehip Oil 30ml",813424020123
Acure,UN - AR166,"Acure The Essentials Hemp Seed Oil 30ml",813424022240
Acure,UN - AR172,"Acure Incredibly Clear Acne Spot 14.7ml",813424020239
Acure,UN - AR174,"Acure Incredibly Clear Mattifying Moisturiser 50ml",854049002118
Acure,UN - AR175,"Acure Incredibly Clear Charcoal Lemonade Mask 50ml",813424022257
Acure,UN - AR176,"Acure Incredibly Clear Facial Cleansing Bar 113g",813424023209
Acure,UN - AR232,"Acure Deodorant Stick Fragrance Free 63g",813424021168
Acure,UN - AR250,"Acure Brightening Vitamin C Jelly Mask 30ml",813424023377
Acure,UN - AR251,"Acure Brightening Vitamin C Sunset Serum 30ml",813424022264
Acure,UN - AR252,"Acure Brightening Vitamin C Superfine Mist 59ml",813424022417
Acure,UN - AR311,"Acure Brightening Glow Lotion 236ml",813424022011
Acure,UN - AR312,"Acure Seriously Soothing Solid Serum 3in1 50ml",813424021564
Acure,UN - AR315,"Acure Radically Rejuvenating Marula & Rose Serum Stick 28g",813424022028
Acure,UN - AR316,"Acure Seriously Soothing Blue Tansy Serum Stick 28.34g",813424021557
Acure,UN - AR317,"Acure Coconut & Argan Shampoo Bar 140g",813424022684
Acure,UN - AR320,"Acure Unicorn Shimmer Shampoo 236ml",813424021618
Acure,UN - AR321,"ACURE Unicorn Shimmer Conditioner 236ml",813424021625
Acure,UN - AR323,"Acure Wave & Curl Colour Wellness Conditioner 236ml",813424021588
Acure,UN - AR324,"Acure Ionic Blonde Colour Wellness Shampoo 236ml",813424022608
Acure,UN - AR325,"Acure Ionic Blonde Colour Wellness Conditioner 236ml",813424022615
Acure,UN - AR342,"Acure Resurfacing Dewy All Day Moisturizer 30ml",813424022387
Acure,UN - AR343,"Acure Resurfacing Overnight Glycolic Treatment 30ml",813424022394
Acure,UN - AR344,"Acure Resurfacing Inter Gly Lactic Peel Pads 10 Pads",813424022691
Acure,UN - AR363,"Acure Ultra Hydrating Eye Cream 14.7ml",813424022462
Acure,UN - AR364,"Acure Ultra Hydrating Watermelon Seed Oil 30ml",813424022592
Alaffia,UN - AF01,"Alaffia African Black Soap Peppermint 476ml",187132002703
Alaffia,UN - AF02,"Alaffia African Black Soap Tangerine Citrus 476ml",187132002710
Alaffia,UN - AF03,"Alaffia African Black Soap Lavender Ylang Ylang 476ml",841320102759
Alaffia,UN - AF05,"Alaffia African Black Soap All-In-One Wild Lavender 476ml",841320102483
Alaffia,UN - AF21,"Alaffia Deodorant Coconut Reishi Bergamot & Charcoal 75g",841320104326
Alaffia,UN - AF22,"Alaffia Deodorant Coconut Reishi Lavender & Charcoal 75",841320104302
Alaffia,UN - AF24,"Alaffia Deodorant Coconut Reishi Coconut & Charcoal 75g",841320104333
Alaffia,UN - AF31,"Alaffia Deodorant Neem Turmeric Lemongrass & Charcoal 75g",841320104906
Alaffia,UN - AF32,"Alaffia Deodorant Neem Turmeric Mandarin & Charcoal 75g",841320104913
Alaffia,UN - EH03,"Alaffia Unscented Shampoo 950 ml",187132005247
Alaffia,UN - EH04,"Alaffia Lavender Conditioner 950ml",187132005216
Alaffia,UN - EH05,"Alaffia Vanilla Mint Conditioner 950ml",187132005230
Alaffia,UN - EH07,"Alaffia Lavender Body Wash 950 ml",187132005063
Alaffia,UN - EH08,"Alaffia Vanilla Mint Body Wash 950ml",187132005070
Alaffia,UN - EH10,"Alaffia Lavender Body Lotion 950ml",187132005018
Alaffia,UN - EH11,"Alaffia Vanilla Body Lotion 950ml",187132005025
Alaffia,UN - EH13,"Alaffia Coconut Shampoo Purely Coconut 950ml",187132007203
Alaffia,UN - EH14,"Alaffia Coconut Conditioner 950ml",187132007302
Alaffia,UN - EH16,"Alaffia Body Lotion Purely Coconut 950ml",187132007005
Alaffia,UN - EH17,"Alaffia Unscented Shea Butter 312g",187132005452
Alaffia,UN - EH21,"Alaffia Lip Balm Coconut Mint 4.25g",841320107723
Alaffia,UN - EH22,"Alaffia Lip Balm Coconut Pineapple 4.25g",841320107716
Alaffia,UN - EH23,"Alaffia Lip Balm Purely Coconut 4.25g",841320107709
Alaffia,UN - EH36,"Alaffia Kids Bubble Bath Eucalyptus Mint 950ml",187132005834
Alaffia,UN - EH37,"Alaffia Kids Bubble Bath Coconut Strawberry 950ml",841320107839
Alaffia,UN - EH38,"Alaffia Kids Bubble Bath Coconut Chamomile 950ml",841320107822
Alaffia,UN - EH39,"Alaffia Kids Bubble Bath Lemon Lavender 950ml",187132005827
