name,email,city,phone,website
"Aztec Day Spa & Skin Clinic","info@aztecdayspa.com.au","Tuggerah","+61243533123","https://aztecdayspa.com.au/"
"Miss Soho Beauty","hello@misssohobeauty.com","Wollongong","+61242447991","http://www.misssohobeauty.com/"
"Medikah skin and beauty","support@medikahbeauty.com.au","Howard Springs","+61439558532","http://medikahbeauty.com.au/"
"Complete Skincare Clinic","info@completeskincareclinic.com.au","Keilor East","+61401376204","http://www.completeskincareclinic.com.au/"
"The Aesthetic Doctor","reception@theaestheticdoctor.com.au","Belmont","+61240542012","https://theaestheticdoctor.com.au/"
"Clinic. Skin. | Skin Cancer Clinic","info@clinicskin.com.au","Nambour","+61753914000","http://www.clinicskin.com.au/"
"Skinnotion Laser Vein Cosmetic Surgery","info@skinnotion.com.au","Surry Hills","+61289993318","https://www.skinnotion.com.au/"
"Launceston Skin Clinic","office@healthnexus.au","Launceston","+61363515610","https://launcestonskin.clinic/"
"EF MEDISPA","promotions@efmedispa.com","London","","https://efmedispa.com/how-to-find-us/kensington"
"Chic Skin And Laser Clinics","info@chicaustralia.com.au","Penrith","+61247322277","https://chicskinandlaserclinics.com.au/?utm_source=local"
"Botanical Beauty Bar","botanicalbeautybar@gmail.com","Daw Park","","https://www.botanicalbeautybar.com.au/"
"The Beauty and Cosmetic Clinic","info@thebeautyclinic.com.au","Sydney","+61292333399","https://thebeautyclinic.com.au/"
"All About Face & Hollywood Injectables","aussiemediclocums@bigpond.com","Surfers Paradise","+61755704926","https://allaboutface.com.au/"
"Hush Clinical - HIFU - Appointment only","hushcosmetics@gmail.com","South Yarra","+61490084370","https://www.hushclinical.com.au/"
"Results Laser Clinic Bondi","info@resultslaserclinic.com.au","Bondi Junction","+61278098852","https://resultslaserclinic.com.au/sydney/laser-hair-removal-bondi/"
"Skin Renu","info@skinrenu.com.au","Balmain","+61295559506","https://skinrenu.com.au/?utm_source=google"
"Avidius rejuvenation therapies","info@indiantypefoundry.com","Bendigo","+61422463519","http://www.avidiusrejuvenationtherapies.com/"
"Zenyu Skin & Beauty","relax@zenyu.com.au","Mornington","+61359750099","http://www.zenyu.com.au/"
"Miami Kiss","miamikissinternational@gmail.com","Varsity Lakes","+61755625477","https://miamikiss.com/#utm_source=google"
"Ella Baché Beauty Salon Charlestown","lauren@ellabache.com.au","Charlestown","+61249436677","http://www.ellabache.com.au/pages/charlestown"
"Cara Derma Skin & Laser Clinic","admin@caraderma.com.au","Pimpama","+61756099330","http://www.caraderma.com.au/"
"Melbourne Clinical Laser South Yarra","mclaser68@gmail.com","South Yarra","+61481789918","http://www.melbourneclinicallaser.com.au/south-yarra/"
"Bella Donna Injectables & Skin","belladonnainjectables@outlook.com","Burleigh Heads","+61435525810","https://bella-donna.com.au/"
"Face and Body Clinic","info@faceandbodyclinic.com.au","Manly","+61434490340","https://www.faceandbodyclinic.com.au/"
"MD Cosmetic and Skin Clinic Sunshine Coast","info@mdcosmeticandskinclinic.com.au","Maroochydore","+61400400982","https://mdcosmeticandskin.com.au/"
"Nova Cosmetic Clinic | Sydney CBD","contact@novacosmetics.com.au","Sydney","+61283555517","http://novacosmetic.clinic/"
"Five Star Day Spa","info@fivestardayspa.com.au","Erina","+61243650515","https://www.fivestardayspa.com.au/"
"Chantal Louise Skin Therapy","info@chantallouiseskin.com.au","Nundah","+61732605908","http://www.chantallouiseskin.com.au/"
"The Skin Lab","orders@theskinlab.com.au","Spring Hill","+61738324370","https://theskinlab.com.au/?utm_source=google"
"TOOWOOMBA SKIN CANCER CLINIC","info@cosmeticelegance.com.au","East Toowoomba","+61746382700","http://toowoombaskincancerclinic.com.au/"
"Sanctum Medical Aesthetics Launceston","last@sanctummedical.com.au","Launceston","+61362238998","http://www.sanctummedical.com.au/"
"DermHealth.co","info@dermhealth.co","","+61423470816","http://www.dermhealth.co/"
"My Cosmetic Clinic","reception@mycosmeticclinic.net","Newcastle","","https://www.mycosmeticclinic.net/locations/newcastle/"
"Cosmetique® Richmond","reception@cosmetique.au","Richmond","","https://www.cosmetique.au/"
"Skin Clinic Blyss","jodie@skinclinicblyss.com.au","Randwick","+61296648011","https://skinclinicblyss.com.au/?utm_source=google"
"Complete Skin & Beauty Salon Brisbane CBD","albanycreek@completeskinandbeauty.com.au","Brisbane City","+61732211759","https://www.completeskinandbeauty.com.au/"
"SkinFit New Farm -HIFU & Facials","newfarm@outlook.com.au","New Farm","+61424227249","https://www.skinfitnewfarm.com.au/"
"Shellharbour Skin - Skin Cancer & Aesthetic Medicine","info@shellharbourskin.com.au","Shellharbour City Centre","+61242492860","http://www.shellharbourskin.com.au/"
"Lotus Dermatology","info@lotusdermatology.com.au","Newcastle","+61249293400","http://www.lotusdermatology.com.au/"
"Skin Nation","info@skinnation.com.au","Soldiers Hill","+61353333377","http://www.skinnation.com.au/"
"North Shore Dermatology","admin@northshoredermatology.com.au","Manly","+61299760055","http://www.northshoredermatology.com.au/"
"Pitt St Cosmetic Clinic","info@pittstcosmetic.com.au","Sydney","+61280841216","http://pittstcosmetic.com.au/"
"Klinika","hello@klinika.com.au","Erina","+61243123099","https://klinika.com.au/"
"Bespoke Cosmetics Clinic","bespokecosmeticsclinic@gmail.com","Erina","+61422714388","https://www.bespokecosmeticsclinic.com.au/"
"Vidler Ave Skin Cancer Centre","admin@theskincancercentre.com.au","Woy Woy","+61243419911","http://theskincancercentre.com.au/?utm_source=google"
"Missie CoCo","info@missiecoco.com.au","Prahran","+61395103307","https://missiecoco.com.au/"
"Artevo Aesthetics","info@artevoaesthetics.com.au","Long Jetty","+61405380595","https://www.artevoaesthetics.com.au/"
"Darling Downs Skin Cancer Centre","alnour@skincancercentres.com.au","Toowoomba City","+61746389299","https://www.skincancercentres.com.au/centre/qld/darling-downs-skin-cancer-centre"
"Newcastle Skin Check (Belmont)","info@newcastleskincheck.com.au","Belmont","+61240328700","http://newcastleskincheck.com.au/?utm_source=google"
"Beauty Affairs MediSpa CBD","admin@beautyaffairs.com.au","Sydney","+61292863898","https://www.beautyaffairs.com.au/pages/medispa"
"Infinity Skin Clinic Surry Hills","surryhills@infinityskin.com.au","Surry Hills","+61280568157","https://infinityskin.com.au/"
"KAILO","reception@kailomedispa.com","Fortitude Valley","+61732523225","https://www.kailomedispa.com/"
"The Face Bar","info@thefacebar.com.au","Darlinghurst","+61293582332","https://thefacebar.com.au/"
"Beauty Bliss Skin Boutique","info@beautybliss.net.au","Carlton North","+61393888890","https://beautybliss.net.au/"
"The Greville Clinic South Yarra","hello@thegrevilleclinic.com.au","South Yarra","+61398242634","https://thegrevilleclinic.com.au/"
"Catalena Beauty and Day Spa","catalenabeauty@yahoo.com.au","Cairns City","+61740413284","https://www.catalenabeauty.com.au/"
"Temple Skincare & Spa","salon@templeskincare.com.au","Castle Hill","+61296342411","http://www.templeskincare.com.au/"
"Aztec Day Spa & Skin Clinic","info@aztecdayspa.com.au","Tuggerah","+61243533123","https://aztecdayspa.com.au/"
"Australian Skin Clinics Broadmeadows","info@australianskinclinics.com.au","Broadmeadows","+61390879438","https://australianskinclinics.com.au/clinics/vic/broadmeadows/?utm_source=gmb"
"Skin Spa","info@skinspa.com.au","Ashgrove","+61733661800","https://www.skinspa.com.au/"
