Date,Affected pages
2025-08-30,13400
2025-08-31,13357
2025-09-01,13357
2025-09-02,13357
2025-09-03,13321
2025-09-04,13321
2025-09-05,13321
2025-09-06,13321
2025-09-07,13311
2025-09-08,13311
2025-09-09,13311
2025-09-10,13276
2025-09-11,13276
2025-09-12,13276
2025-09-13,13276
2025-09-14,13263
2025-09-15,13263
2025-09-16,13263
2025-09-17,13249
2025-09-18,13249
2025-09-19,13249
2025-09-20,13249
2025-09-21,13282
2025-09-22,13282
2025-09-23,13282
2025-09-24,13330
2025-09-25,13330
2025-09-26,13330
2025-09-27,13330
2025-09-28,13285
2025-09-29,13285
2025-09-30,13285
2025-10-01,13213
2025-10-02,13213
2025-10-03,13213
2025-10-04,13213
2025-10-05,13159
2025-10-06,13159
2025-10-07,13159
2025-10-08,13130
2025-10-09,13130
2025-10-10,13130
2025-10-11,13130
2025-10-12,13047
2025-10-13,13047
2025-10-14,13047
2025-10-15,12968
2025-10-16,12968
2025-10-17,12968
2025-10-18,12968
2025-10-19,12922
2025-10-20,12922
2025-10-21,12922
2025-10-22,12879
2025-10-23,12879
2025-10-24,12879
2025-10-25,12879
2025-10-26,12829
2025-10-27,12829
2025-10-28,12829
2025-10-29,12754
2025-10-30,12754
2025-10-31,12754
2025-11-01,12754
2025-11-02,12744
2025-11-03,12744
2025-11-04,12744
2025-11-05,12718
2025-11-06,12718
2025-11-07,12718
2025-11-08,12718
2025-11-09,12647
2025-11-10,12647
2025-11-11,12647
2025-11-12,12622
2025-11-13,12622
2025-11-14,12622
2025-11-15,12622
2025-11-16,12596
2025-11-17,12596
2025-11-18,12596
