name,email,city,phone,website
"Zion Beauty Clinic","info.zionbeautyclinic@gmail.com","Fortitude Valley","+61422989898","https://zionbeauty.com.au/"
"Zion Beauty Clinic","info.zionbeautyclinic@gmail.com","Fortitude Valley","+61422989898","https://zionbeauty.com.au/"
"Zion Beauty Clinic","info.zionbeautyclinic@gmail.com","Fortitude Valley","+61422989898","https://zionbeauty.com.au/"
"Zecca Cosmedical","info@zecca.com.au","Alexandria","","https://zecca.com.au/?utm_source=google"
"Zecca Cosmedical","info@zecca.com.au","Alexandria","","https://zecca.com.au/?utm_source=google"
"YANG Medical Beauty-Cosmetic Clinic Southport","info@pondadesign.com.au","Southport","+61416375160","https://yangmedicalbeauty.com.au/"
"YANG Medical Beauty-Cosmetic Clinic Southport","info@pondadesign.com.au","Southport","+61416375160","https://yangmedicalbeauty.com.au/"
"YANG Medical Beauty-Cosmetic Clinic Southport","info@pondadesign.com.au","Southport","+61416375160","https://yangmedicalbeauty.com.au/"
"Your SKN Room","contact@yoursknroom.com.au","Toowong","+61493982131","https://www.yoursknroom.com.au/"
"White Sage Skin & Wellness","hello@whitesagehobart.com.au","Hobart","+61411399200","https://www.whitesagehobart.com.au/"
"White Rooms by Grayclay","admin@grayclay.com.au","Southport","+61755313738","https://www.whiterooms.com.au/"
"Visible Changes","contact@visiblechanges.com.au","Adelaide","+61882237633","https://www.visiblechanges.com.au/"
"Victoria’s Cosmetic Medical Clinic","info@victorias.com.au","Newstead","+61363310377","https://www.victorias.com.au/"
"Victoria’s Cosmetic Medical Clinic","info@victorias.com.au","Newstead","+61363310377","https://www.victorias.com.au/"
"Victorian Laser & Skin Clinic - Laser Hair Removal Melbourne","info@viclaser.com.au","Melbourne","","https://www.viclaser.com.au/"
"VERSA Skin and Cosmetics","hello@versaskinandcosmetics.com.au","Brunswick East","+61493554403","https://www.versaskinandcosmetics.com.au/"
