sku,title,variant_title,vendor,wholesale_price,rrp
KIK - OB-BLIMO,Acacia AromaTherapy Blissful Moment Certified Organic Essential Oil Blend 10ml,,Acacia Aromatherapy,12.52,
KIK - OB-BREAT,Acacia AromaTherapy Breathe Certified Organic Essential Oil Blend 10ml,,Acacia Aromatherapy,12.52,
KIK - OB-DAYDR,Acacia AromaTherapy Daydream Certified Organic Essential Oil Blend 10ml,,Acacia Aromatherapy,13.06,
KIK - OB-FOCUS,Acacia AromaTherapy Focus Certified Organic Essential Oil Blend 10ml,,Acacia Aromatherapy,12.52,
KIK - RO-FOCUS,Acacia AromaTherapy Focus Certified Organic Essential Oil Roll on 10ml,,Acacia Aromatherapy,11.97,
KIK - OB-LOVE,Acacia AromaTherapy Love Certified Organic Essential Oil Blend 10ml,,Acacia Aromatherapy,13.06,
KIK - OB-SLEWE,Acacia AromaTherapy Sleep Well Certified Organic Essential Oil 10ml,,Acacia Aromatherapy,13.61,
KIK - RO-SLEWE,Acacia AromaTherapy Sleep Well Certified Organic Essential Oil Rollon 10ml,,Acacia Aromatherapy,13.06,
KIK - OB-STRRE,Acacia AromaTherapy Stress Release Certified Organic Essential Oil Blend 10ml,,Acacia Aromatherapy,13.61,
KIK - RO-STRRE,Acacia AromaTherapy Stress Release Certified Organic Essential Oil Rollon 10ml,,Acacia Aromatherapy,13.06,
KIK - OB-UNWIN,Acacia AromaTherapy Unwind Certified Organic Essential Oil Blend 10ml,,Acacia Aromatherapy,13.06,
KIK - RO-UNWIN,Acacia AromaTherapy Unwind Certified Organic Essential Oil Rollon 10ml,,Acacia Aromatherapy,11.97,
AE301,3% CHAMOMILE GEMAN BLUE OIL 10ml,,Ausganica,,
AE302,3% IMMORTELLE OIL 10ml,,Ausganica,11.34,
AE303,3% JASMINE OIL 10ml,,Ausganica,,
AE304,3% NEROLI OIL 10ml,,Ausganica,,
AE305,3% ROSE OTTO OIL 10ml,,Ausganica,,
AEO183,ABIES OIL 10ml,,Ausganica,,
AEO182,ABIES OIL 5ml,,Ausganica,,
ACO01,ALMOND SWEET OIL 10ml,,Ausganica,,
ACO02,ALMOND SWEET OIL 30ml,,Ausganica,,
PHS01,ALOE & CHAMOMILE SOAP 100g,,Ausganica,,
ACO14,APRICOT KERNEL VIRGIN OIL 100ml,,Ausganica,,
ACO04,ARGAN OIL 10ml,,Ausganica,,
ACO05,ARGAN OIL 30ml,,Ausganica,,
KIK - ACO01,Ausganica Almond Sweet Oil 10Ml,,Ausganica,3.95,
ACO06,Ausganica Argan Oil 100ml,,Ausganica,17.02,
KIK - ACO04,Ausganica Argan Oil 10Ml,,Ausganica,4.75,
KIK - AEO002,Ausganica Basil Oil 10Ml,,Ausganica,17.02,
