Date,Affected pages
2025-08-30,7191
2025-08-31,7197
2025-09-01,7197
2025-09-02,7197
2025-09-03,7206
2025-09-04,7206
2025-09-05,7206
2025-09-06,7206
2025-09-07,7196
2025-09-08,7196
2025-09-09,7196
2025-09-10,7185
2025-09-11,7185
2025-09-12,7185
2025-09-13,7185
2025-09-14,7186
2025-09-15,7186
2025-09-16,7186
2025-09-17,7187
2025-09-18,7187
2025-09-19,7187
2025-09-20,7187
2025-09-21,7175
2025-09-22,7175
2025-09-23,7175
2025-09-24,7177
2025-09-25,7177
2025-09-26,7177
2025-09-27,7177
2025-09-28,7154
2025-09-29,7154
2025-09-30,7154
2025-10-01,7083
2025-10-02,7083
2025-10-03,7083
2025-10-04,7083
2025-10-05,7062
2025-10-06,7062
2025-10-07,7062
2025-10-08,7006
2025-10-09,7006
2025-10-10,7006
2025-10-11,7006
2025-10-12,7001
2025-10-13,7001
2025-10-14,7001
2025-10-15,6998
2025-10-16,6998
2025-10-17,6998
2025-10-18,6998
2025-10-19,6975
2025-10-20,6975
2025-10-21,6975
2025-10-22,6947
2025-10-23,6947
2025-10-24,6947
2025-10-25,6947
2025-10-26,6916
2025-10-27,6916
2025-10-28,6916
2025-10-29,6857
2025-10-30,6857
2025-10-31,6857
2025-11-01,6857
2025-11-02,6854
2025-11-03,6854
2025-11-04,6854
2025-11-05,6845
2025-11-06,6845
2025-11-07,6845
2025-11-08,6845
2025-11-09,6845
2025-11-10,6845
2025-11-11,6845
2025-11-12,6821
2025-11-13,6821
2025-11-14,6821
2025-11-15,6821
2025-11-16,6817
2025-11-17,6817
2025-11-18,6817
