name,email,city,phone,website
"Stephanies Spa Retreat, Sofitel Brisbane","info@stephanies.com.au","Brisbane City","+61732218800","https://stephanies.com.au/"
"Aztec Day Spa & Skin Clinic","info@aztecdayspa.com.au","Tuggerah","+61243533123","https://aztecdayspa.com.au/"
"Semaines Spa","info@semainesspa.com.au","Ashmore","+61755973100","http://semainesspa.com.au/"
"Miss Soho Beauty","hello@misssohobeauty.com","Wollongong","+61242447991","http://www.misssohobeauty.com/"
"Ripple Massage Day Spa And Beauty","info@ripplemassage.com.au","","+61438567906","https://www.ripplemassage.com.au/"
"Oceà eco spa","ocea.eco.spa@gmail.com","Darwin City","+61475682307","http://www.oceaecospa.com.au/"
"Central Beauty Geelong","centralbeauty.geelong@gmail.com","Geelong","+61352215113","http://www.facebook.com/centralbeautygeelong"
"Bob Hair Co.","info@bobmelbourne.com.au","South Yarra","+61388499125","https://www.bobmelbourne.com.au/?utm_source=GMB_Listing"
"Complete Skincare Clinic","info@completeskincareclinic.com.au","Keilor East","+61401376204","http://www.completeskincareclinic.com.au/"
"The Upper Level Co-Working Salon","info@theupperlevel.com.au","Melbourne","","https://www.theupperlevel.com.au/"
"TONI&GUY Brisbane","graham@toniandguy.com.au","Brisbane City","+61732101727","https://www.toniandguy.com.au/salons/qld-locations/brisbane/"
"Sugar Nails and Beauty","sugarnailsandbeauty@gmail.com","Stones Corner","+61733240695","http://www.sugarnailsandbeauty.com/"
"Serenity Hair & Co Surry Hills","serenityhairco@outlook.com","Surry Hills","+61293601652","http://www.serenityhairco.com/"
"The Tone Bar - Hairdressers - Central Coast","toni@thetonebar.com.au","Toukley","+61243172808","http://www.thetonebar.com.au/"
"Chic Skin And Laser Clinics","info@chicaustralia.com.au","Penrith","+61247322277","https://chicskinandlaserclinics.com.au/?utm_source=local"
"The Beauty and Cosmetic Clinic","info@thebeautyclinic.com.au","Sydney","+61292333399","https://thebeautyclinic.com.au/"
"All About Face & Hollywood Injectables","aussiemediclocums@bigpond.com","Surfers Paradise","+61755704926","https://allaboutface.com.au/"
"Chameleon New Age Salon","monique.chameleon@gmail.com","Surfers Paradise","+61755268368","https://chameleonnewagesalon.com.au/"
"Hush Clinical - HIFU - Appointment only","hushcosmetics@gmail.com","South Yarra","+61490084370","https://www.hushclinical.com.au/"
"Gloss Hair","chighmore67@gmail.com","Farrer","+61262865225","https://m.facebook.com/100046953685968/"
"Beauty by Kii","hello@fresha.com","Bondi Junction","+61415940280","https://www.fresha.com/book-now/the-collagen-beauty-lounge-by-kii-f86qtbpv/all-offer?id=900679"
"D'Kingdom Nails & Beauty","hello@fresha.com","Fulham Gardens","+61451145149","https://www.fresha.com/book-now/d-kingdom-nails-beauty-vxgpgbxb/services?lid=209453"
"Skin Renu","info@skinrenu.com.au","Balmain","+61295559506","https://skinrenu.com.au/?utm_source=google"
"Embellish Beauty Therapy","ebtglenelg@gmail.com","Glenelg South","+61882940444","http://www.embellishbeauty.com.au/"
"Smooth Styling","smoothstyling@gmail.com","Bondi Junction","+61450885026","http://smooth-styling.com.au/"
"New Do","info@newdo.com.au","Newtown","+61295198339","http://newdo.com.au/"
"Zenyu Skin & Beauty","relax@zenyu.com.au","Mornington","+61359750099","http://www.zenyu.com.au/"
"Miami Kiss","miamikissinternational@gmail.com","Varsity Lakes","+61755625477","https://miamikiss.com/#utm_source=google"
"Ella Baché Beauty Salon Charlestown","lauren@ellabache.com.au","Charlestown","+61249436677","http://www.ellabache.com.au/pages/charlestown"
"Cara Derma Skin & Laser Clinic","admin@caraderma.com.au","Pimpama","+61756099330","http://www.caraderma.com.au/"
"NI’S Hair & Beauty","milenabbrandao@gmail.com","Prospect","+61421977135","https://www.nishairandbeauty.com/"
"Just Cuts Bondi Junction - Westfield Shopping Centre","admin@justcuts.com.au","Bondi Junction","+61293897225","https://www.justcuts.com.au/Australian-Salons/Bondi-Junction-Westfield?sid=730"
"Noa Natural Nail Studio","hello@fresha.com","Robina","","https://www.fresha.com/a/noa-natural-nail-studio-robina-3-211-ron-penhaligon-way-s0lm856j"
"Edward Scissorhands - St Kilda Barber","hello@fresha.com","St Kilda","+61403185329","https://www.fresha.com/book-now/cutthroat-barber-co-jrqcxngb/services?lid=1394985"
"No Loose Ends Hair Salon","hello@fresha.com","South Melbourne","+61458399111","https://www.fresha.com/book-now/no-loose-ends-hairstyling-l17o62di/all-offer?pId=520021"
"Face and Body Clinic","info@faceandbodyclinic.com.au","Manly","+61434490340","https://www.faceandbodyclinic.com.au/"
"Lashley Beauty","hello@fresha.com","Melbourne","+61481703558","https://www.fresha.com/book-now/lashley-beauty-r47k5uzd/services?lid=575191"
"Laritza's Hair Salon","hello@fresha.com","Ourimbah","+61404203440","https://www.fresha.com/a/laritzas-hair-salon-ourimbah-35-pacific-highway-fadtdggl?pId=476888"
"Mina's Beauty Salon","hello@fresha.com","Chatswood","+61294194788","https://www.fresha.com/lvp/minas-beauty-salon-victoria-avenue-chatswood-MxZ7NN"
"Mina's Beauty Salon","hello@fresha.com","Chatswood","+61294194788","https://www.fresha.com/lvp/minas-beauty-salon-victoria-avenue-chatswood-MxZ7NN"
"Newtown Beauty & Health Co. / Japanese nail salon","hello@fresha.com","Newtown","","https://www.fresha.com/book-now/bloom-japanese-nail-salon-ed3llbsw/services?lid=1503446"
"Kim Sun Young","info@kimsunyoung.com.au","Sydney","+61292645800","http://kimsunyoung.com.au/"
"Glamour Nails","hello@fresha.com","Richmond","+61479140084","https://www.fresha.com/a/glamour-nails-richmond-262-church-street-7b3gd4fk?pId=67460"
"Escape Skin & Body - Hobart","info@escapeskinandbody.com.au","Hobart","+61362233433","https://beauty-salon-hobart.com/?utm_source=google"
"Chantal Louise Skin Therapy","info@chantallouiseskin.com.au","Nundah","+61732605908","http://www.chantallouiseskin.com.au/"
"The Skin Lab","orders@theskinlab.com.au","Spring Hill","+61738324370","https://theskinlab.com.au/?utm_source=google"
"Prosperity Nails & Beauty","hello@fresha.com","North Melbourne","+61421429600","https://www.fresha.com/book-now/prosperity-nails-beauty-yunebdio/all-offer?id=1302598"
"Painted","info@paintednails.com.au","Darlinghurst","+61487442728","https://www.paintednails.com.au/"
"Smart Cuts & Color","promo@smartcutsandcolor.com.au","South Yarra","+61398268364","https://smartcutsandcolor.com.au/"
"Backstage Salon Wollongong","contact@backstagesalon.com.au","Wollongong","+61242257225","https://www.backstagesalon.com.au/"
