name,email,city,phone,website
"eforea spa","surfersparadise.reservations@hilton.com","Surfers Paradise","+61756808111","https://hiltonsurfersparadise.com.au/eforea-spa-hilton/"
"Stephanies Spa Retreat, Sofitel Brisbane","info@stephanies.com.au","Brisbane City","+61732218800","https://stephanies.com.au/"
"D-Spa","info@d-spa.com.au","South Yarra","+61398266700","https://www.d-spa.com.au/"
"Aztec Day Spa & Skin Clinic","info@aztecdayspa.com.au","Tuggerah","+61243533123","https://aztecdayspa.com.au/"
"Semaines Spa","info@semainesspa.com.au","Ashmore","+61755973100","http://semainesspa.com.au/"
"endota spa Carlton North","info@endota.com.au","Carlton North","+61393404200","https://endotaspa.com.au/find-a-spa/carlton-north?utm_source=google"
"Miss Soho Beauty","hello@misssohobeauty.com","Wollongong","+61242447991","http://www.misssohobeauty.com/"
"Ripple Massage Day Spa And Beauty","info@ripplemassage.com.au","","+61438567906","https://www.ripplemassage.com.au/"
"Oceà eco spa","ocea.eco.spa@gmail.com","Darwin City","+61475682307","http://www.oceaecospa.com.au/"
"Temple Day Spa","info@templedayspa.com.au","Semaphore","+61881257822","https://www.templedayspa.com.au/"
"Stable Health - Prahran","info@stablehealth.com.au","Prahran","+61385989804","https://stablehealthclinic.com.au/"
"Max Therapy South Yarra","info@maxtherapy.com.au","South Yarra","+61398277764","http://www.maxtherapy.com.au/"
"EF MEDISPA","promotions@efmedispa.com","London","","https://efmedispa.com/how-to-find-us/kensington"
"Botanical Beauty Bar","botanicalbeautybar@gmail.com","Daw Park","","https://www.botanicalbeautybar.com.au/"
"The Beauty and Cosmetic Clinic","info@thebeautyclinic.com.au","Sydney","+61292333399","https://thebeautyclinic.com.au/"
"BodyCure: Massage, Reflexology & Natural Therapy","hello@fresha.com","Southport","+61735170889","https://www.fresha.com/a/bodycure-massage-gold-coast-shop1-9-nerang-street-wpxs8ngu"
"Chameleon New Age Salon","monique.chameleon@gmail.com","Surfers Paradise","+61755268368","https://chameleonnewagesalon.com.au/"
"Hush Clinical - HIFU - Appointment only","hushcosmetics@gmail.com","South Yarra","+61490084370","https://www.hushclinical.com.au/"
"The Glorious Spa & Beauty","gloriousspa.beauty@gmail.com","Mooloolaba","+61411690489","https://www.gloriousspa.com.au/"
"Skin Renu","info@skinrenu.com.au","Balmain","+61295559506","https://skinrenu.com.au/?utm_source=google"
"Avidius rejuvenation therapies","info@indiantypefoundry.com","Bendigo","+61422463519","http://www.avidiusrejuvenationtherapies.com/"
"Ella Baché Beauty Salon Charlestown","lauren@ellabache.com.au","Charlestown","+61249436677","http://www.ellabache.com.au/pages/charlestown"
"Lotus Naturopathy & Massage","contact@sansoxygen.com","Ourimbah","+61243621146","http://www.lotusnaturopathy.com.au/"
"NI’S Hair & Beauty","milenabbrandao@gmail.com","Prospect","+61421977135","https://www.nishairandbeauty.com/"
"Lift Your Soul Head Spa","hello@fresha.com","Stuart Park","+61451110009","https://www.fresha.com/book-now/head-spa-z9g0t7lo/all-offer?share"
"Face and Body Clinic","info@faceandbodyclinic.com.au","Manly","+61434490340","https://www.faceandbodyclinic.com.au/"
"Thai Fusion Spa Gold Coast","hello@thaifusionspa.com.au","Surfers Paradise","+61431123848","https://www.thaifusionspa.com.au/"
"Mina's Beauty Salon","hello@fresha.com","Chatswood","+61294194788","https://www.fresha.com/lvp/minas-beauty-salon-victoria-avenue-chatswood-MxZ7NN"
"Mina's Beauty Salon","hello@fresha.com","Chatswood","+61294194788","https://www.fresha.com/lvp/minas-beauty-salon-victoria-avenue-chatswood-MxZ7NN"
"Siam Spa168 Thai Massage","siamspagc@gmail.com","Southport","+61414048386","https://therapeutic168.com/"
"Nova Cosmetic Clinic | Sydney CBD","contact@novacosmetics.com.au","Sydney","+61283555517","http://novacosmetic.clinic/"
"A-SPA waxing, massage, facial,reflexology, body scrub, hair trim, steam room,Eyelash Extensions,Eyebrow wrinkleslip wrinkles","a.spa.southbrisbane@gmail.com","South Brisbane","+61451555858","http://www.a-spa.com.au/"
"DG Health | Richmond Physio","info@dghealth.com.au","Richmond","+61421352389","https://www.dghealth.com.au/"
"DeakinACTIVE Waterfront Wellness Centre","burwood@deakinactive.com.au","Geelong","+61399896943","http://www.deakinactive.com.au/?utm_source=google"
"Cocoon Bondi","bondireikiroom@gmail.com","Bondi Beach","+61459185922","http://www.cocoonbondi.com.au/"
"ForRest Thai Massage","hello@fresha.com","South Yarra","+61479153642","https://www.fresha.com/book-now/forrest-thai-massage-and-spa-pte4g6ve/all-offer?pId=580501"
"Five Star Day Spa","info@fivestardayspa.com.au","Erina","+61243650515","https://www.fivestardayspa.com.au/"
"Escape Skin & Body - Hobart","info@escapeskinandbody.com.au","Hobart","+61362233433","https://beauty-salon-hobart.com/?utm_source=google"
"Chantal Louise Skin Therapy","info@chantallouiseskin.com.au","Nundah","+61732605908","http://www.chantallouiseskin.com.au/"
"The Skin Lab","orders@theskinlab.com.au","Spring Hill","+61738324370","https://theskinlab.com.au/?utm_source=google"
"Bondi Massage and Homeopathy","info@rebeccacooke.com.au","Bondi","+61402023755","https://rebeccacooke.com.au/"
"Human Therapy","georgy@humantherapy.com.au","Bondi Junction","+61430006852","http://www.humantherapy.com.au/"
"Herbal Massage (Surfers paradise Gold Coast)","hello@fresha.com","Surfers Paradise","+61755317798","https://www.fresha.com/book-now/herbal-thai-massage-pcnv67qv/all-offer?share"
"THE WELLNESS MASSAGE SPA BONDI","thewellnessmassagebondi@outlook.com","Bondi","+61423426654","http://www.thewellnessmassagebondi.com/"
"88 THAI MASSAGE STUDIO","hello@fresha.com","Richmond","+61468328898","https://www.fresha.com/book-now/88-thai-massage-studio-jvvh5pcv/all-offer?pId=878193"
"I Am Siam Thai Massage at North Sydney","iamsiamsydneymassage@gmail.com","North Sydney","+61294604850","http://www.iamsiamsydneymassage.com.au/"
"World of Wellbeing","info@worldofwellbeing.com.au","Phillip","+61262604774","https://worldofwellbeing.com.au/"
"Lotus Day Spa","alex@honee.com.au","Melbourne","","https://www.honee.com.au/v/massage/relaxation-massage/lotus-day-spa/lotus-day-spa-collins-street"
"Vie Spa","h8772@accor.com","Cairns City","+61740502124","https://www.pullmancairnsinternational.com.au/vie-spa-at-pullman-cairns/"
"Kelly's Massage Prahran Market","management@prahranmarket.com.au","South Yarra","+61435436428","https://www.prahranmarket.com.au/trader/kellys-massage/"
"The Day Spa by Chuan","tlchi.info@langhamhotels.com","Millers Point","+61282485250","https://www.langhamhotels.com/en/the-langham/sydney/wellness/chuan-spa/"
"Cozy Spa","manformenspa@hotmail.com","Sydney","+61416559675","http://www.cozymenspa.com/about-us"
"Empowering Wellness Centre","reception@mybhcc.com.au","Burleigh Heads","+61755359833","https://www.empoweringwellness.com.au/"
"Sanctum Medical Aesthetics Launceston","last@sanctummedical.com.au","Launceston","+61362238998","http://www.sanctummedical.com.au/"
"Sacred Ritual Spa","info@sacredritualspa.com.au","Bondi Junction","+61297734054","https://sacredritualspa.com.au/"
"SUNSET SPA - Bespoke Rituals Inspired by Nature","welcome@sunsetspa.com.au","Mount Eliza","+61450686522","https://www.sunsetspa.com.au/"
"Complete Skin & Beauty Salon Brisbane CBD","albanycreek@completeskinandbeauty.com.au","Brisbane City","+61732211759","https://www.completeskinandbeauty.com.au/"
"Organic Thai Massage Newtown","info@organicthaimassage.com.au","Newtown","+61290071562","https://www.organicthaimassage.com.au/"
"Le Spa Massage Academy & Remedial Massage","info@lemassage.com.au","Milton","+61733683362","https://www.lemassage.com.au/"
"Saya Medispa","sayabeautebar@live.com","Somerville","+61359776790","http://www.sayamedispa.com.au/"
"SkinFit New Farm -HIFU & Facials","newfarm@outlook.com.au","New Farm","+61424227249","https://www.skinfitnewfarm.com.au/"
"LAN BATHHOUSE","info@lanbathhouse.com.au","Surfers Paradise","+61466378588","https://www.lanbathhouse.com.au/"
"The Sports Clinic of Melbourne","hannah@sportsclinicmelb.com.au","Prahran","+61390880259","http://www.sportsclinicmelb.com.au/?utm_source=google"
"Missie CoCo","info@missiecoco.com.au","Prahran","+61395103307","https://missiecoco.com.au/"
"Beauty Affairs MediSpa CBD","admin@beautyaffairs.com.au","Sydney","+61292863898","https://www.beautyaffairs.com.au/pages/medispa"
"Cloud Twelve Wellness, Spa and Kid's Club","hello@cloudtwelve.co.uk","London","","https://www.cloudtwelve.co.uk/"
"Tank Farm Bathhouse, Day Spa & Massage Bli Bli","blibli@tankspa.com.au","Bli Bli","","https://www.tankfarm.com.au/"
"Earth + Skin Day Spa Gold Coast","info@earthandskin.com.au","Mudgeeraba","+61755307959","https://www.earthandskin.com.au/"
"KAILO","reception@kailomedispa.com","Fortitude Valley","+61732523225","https://www.kailomedispa.com/"
